token sentstart
ergriff 5749
mich 5757
, 5761
wenn 5763
ich 5768
ihn 5772
nicht 5776
allein 5782
die 5789
Treppe 5793
heraufkommen 5800
, 5812
sondern 5814
auch 5822
meines 5827
Vaters 5834
Stubentür 5841
heftig 5852
aufreißen 5859
und 5870
hineintreten 5874
hörte 5887
. 5893
Manchmal 5895
blieb 5904
er 5910
lange 5913
weg 5919
, 5922
dann 5924
kam 5929
er 5933
öfter 5936
hintereinander 5943
. 5957
Jahrelang 5959
dauerte 5969
das 5977
, 5980
und 5982
nicht 5986
gewöhnen 5992
konnte 6002
ich 6009
mich 6013
an 6018
den 6021
unheimlichen 6025
Spuk 6038
, 6042
nicht 6044
bleicher 6050
wurde 6059
in 6065
mir 6068
das 6072
Bild 6076
des 6081
grausigen 6085
Sandmanns 6095
. 6104
Sein 6106
Umgang 6111
mit 6118
dem 6122
Vater 6126
fing 6132
an 6137
, 6139
meine 6141
Fantasie 6147
immer 6156
mehr 6162
und 6167
mehr 6171
zu 6176
beschäftigen 6179
: 6192
den 6194
Vater 6198
darum 6204
zu 6210
befragen 6213
, 6221
hielt 6223
mich 6229
eine 6234
unüberwindliche 6239
Scheu 6256
zurück 6262
, 6269
aber 6271
selbst 6276
� 6283
� 6285
selbst 6287
das 6294
Geheimnis 6298
zu 6308
erforschen 6311
, 6321
den 6323
fabelhaften 6327
Sandmann 6339
zu 6348
sehen 6351
, 6356
dazu 6358
keimte 6363
mit 6370
den 6374
Jahren 6378
immer 6385
mehr 6391
die 6396
Lust 6400
in 6405
mir 6408
empor 6412
. 6417
Der 6419
Sandmann 6423
hatte 6432
mich 6438
auf 6443
die 6447
Bahn 6451
des 6456
Wunderbaren 6460
, 6471
Abenteuerlichen 6473
gebracht 6489
, 6497
das 6499
so 6503
schon 6506
leicht 6512
im 6519
kindlichen 6522
Gemüt 6533
sich 6540
einnistet 6545
. 6554
Nichts 6556
war 6563
mir 6567
lieber 6571
, 6577
als 6579
schauerliche 6583
Geschichten 6596
von 6608
Kobolden 6612
, 6620
Hexen 6622
, 6627
Däumlingen 6629
und 6641
so 6645
weiter 6648
zu 6655
hören 6658
oder 6665
zu 6670
lesen 6673
; 6678
aber 6680
obenan 6685
stand 6692
immer 6698
der 6704
Sandmann 6708
, 6716
den 6718
ich 6722
in 6726
den 6729
seltsamsten 6733
, 6744
abscheulichsten 6746
Gestalten 6762
überall 6772
auf 6781
Tische 6785
, 6791
Schränke 6793
und 6803
Wände 6807
mit 6814
Kreide 6818
, 6824
Kohle 6826
hinzeichnete 6832
. 6844
Als 6846
ich 6850
zehn 6854
Jahre 6859
alt 6865
geworden 6869
, 6877
wies 6879
mich 6884
die 6889
Mutter 6893
aus 6900
der 6904
Kinderstube 6908
in 6920
ein 6923
Kämmerchen 6927
, 6938
das 6940
auf 6944
dem 6948
Korridor 6952
unfern 6961
von 6968
meines 6972
Vaters 6979
Zimmer 6986
lag 6993
. 6996
Noch 6998
immer 7003
mußten 7009
wir 7017
uns 7021
, 7024
wenn 7026
auf 7031
den 7035
Schlag 7039
neun 7046
Uhr 7051
sich 7055
jener 7060
Unbekannte 7066
im 7077
Hause 7080
hören 7086
ließ 7093
, 7098
schnell 7100
entfernen 7108
. 7117
In 7119
meinem 7122
Kämmerchen 7129
vernahm 7141
ich 7149
, 7152
wie 7154
er 7158
bei 7161
dem 7165
Vater 7169
hineintrat 7175
, 7185
und 7187
bald 7191
darauf 7196
war 7203
es 7207
mir 7210
dann 7214
, 7218
als 7220
verbreite 7224
sich 7234
im 7239
Hause 7242
ein 7248
feiner 7252
, 7258
seltsam 7260
riechender 7268
Dampf 7279
. 7284
Immer 7286
höher 7292
mit 7299
der 7303
Neugierde 7307
wuchs 7317
der 7323
Mut 7327
, 7330
auf 7332
irgendeine 7336
Weise 7347
des 7353
Sandmanns 7357
Bekanntschaft 7367
zu 7381
machen 7384
. 7390
Oft 7392
schlich 7396
ich 7404
schnell 7408
aus 7416
dem 7420
Kämmerchen 7424
auf 7436
den 7440
Korridor 7444
, 7452
wenn 7454
die 7459
Mutter 7463
vorübergegangen 7470
, 7486
aber 7488
nichts 7493
konnte 7500
ich 7507
erlauschen 7511
, 7521
denn 7523
immer 7528
war 7534
der 7538
Sandmann 7542
schon 7551
zur 7557
Türe 7561
hinein 7567
, 7573
wenn 7575
ich 7580
den 7584
Platz 7588
erreicht 7594
hatte 7603
, 7608
wo 7610
er 7613
mir 7616
sichtbar 7620
werden 7629
mußte 7636
. 7642
Endlich 7644
, 7651
von 7653
unwiderstehlichem 7657
Drange 7675
getrieben 7682
, 7691
beschloß 7693
ich 7703
, 7706
im 7708
Zimmer 7711
des 7718
Vaters 7722
selbst 7729
mich 7736
zu 7741
verbergen 7744
und 7754
den 7758
Sandmann 7762
zu 7771
erwarten 7774
. 7782

 7784
An 7785
des 7788
Vaters 7792
Schweigen 7799
, 7808
an 7810
der 7813
Mutter 7817
Traurigkeit 7824
merkte 7836
ich 7843
eines 7847
Abends 7853
, 7859
daß 7861
der 7866
Sandmann 7870
kommen 7879
werde 7886
; 7891
ich 7893
schützte 7897
daher 7907
große 7913
Müdigkeit 7920
vor 7931
, 7934
verließ 7936
schon 7945
vor 7951
neun 7955
Uhr 7960
das 7964
Zimmer 7968
und 7975
verbarg 7979
mich 7987
dicht 7992
neben 7998
der 8004
Türe 8008
in 8014
einem 8017
Schlupfwinkel 8023
. 8036
Die 8038
Haustüre 8042
knarrte 8052
, 8059
durch 8061
den 8067
Flur 8071
ging 8076
es 8081
, 8083
langsamen 8085
, 8094
schweren 8096
, 8104
dröhnenden 8106
Schrittes 8118
, 8127
nach 8129
der 8134
Treppe 8138
. 8144
Die 8146
Mutter 8150
eilte 8157
mit 8163
dem 8167
Geschwister 8171
mir 8183
vorüber 8187
. 8195
Leise 8197
� 8203
� 8205
leise 8207
öffnete 8213
ich 8222
des 8226
Vaters 8230
Stubentür 8237
. 8247
Er 8249
saß 8252
, 8256
wie 8258
gewöhnlich 8262
, 8273
stumm 8275
und 8281
starr 8285
den 8291
Rücken 8295
der 8303
Türe 8307
zugekehrt 8313
, 8322
er 8324
bemerkte 8327
mich 8336
nicht 8341
, 8346
schnell 8348
war 8356
ich 8360
hinein 8364
und 8371
hinter 8375
der 8382
Gardine 8386
, 8393
die 8395
einem 8399
gleich 8405
neben 8412
der 8418
Türe 8422
stehenden 8428
offnen 8438
Schrank 8445
, 8452
worin 8454
meines 8460
Vaters 8467
Kleider 8474
hingen 8482
, 8488
vorgezogen 8490
war 8501
. 8504
� 8506
� 8508
Näher 8510
� 8517
� 8519
immer 8521
näher 8527
dröhnten 8534
die 8544
Tritte 8548
� 8555
� 8557
es 8559
hustete 8562
und 8570
scharrte 8574
und 8583
brummte 8587
seltsam 8595
draußen 8603
. 8611
Das 8613
Herz 8617
bebte 8622
mir 8628
vor 8632
Angst 8636
und 8642
Erwartung 8646
. 8655
� 8657
� 8659
Dicht 8661
, 8666
dicht 8668
vor 8674
der 8678
Türe 8682
ein 8688
scharfer 8692
Tritt 8701
� 8707
� 8709
ein 8711
heftiger 8715
Schlag 8724
auf 8731
die 8735
Klinke 8739
, 8745
die 8747
Tür 8751
springt 8756
rasselnd 8764
auf 8773
! 8776
� 8778
� 8780
Mit 8782
Gewalt 8786
mich 8793
ermannend 8798
, 8807
gucke 8809
ich 8815
behutsam 8819
hervor 8828
. 8834
Der 8836
Sandmann 8840
steht 8849
mitten 8855
in 8862
der 8865
Stube 8869
vor 8875
meinem 8879
Vater 8886
, 8891
der 8893
helle 8897
Schein 8903
der 8910
Lichter 8914
brennt 8922
ihm 8929
ins 8933
Gesicht 8937
! 8944
� 8946
� 8948
Der 8950
Sandmann 8954
, 8962
der 8964
fürchterliche 8968
Sandmann 8983
ist 8992
der 8996
alte 9000
Advokat 9005
Coppelius 9013
, 9022
der 9024
manchmal 9028
bei 9037
uns 9041
zu 9045
Mittage 9048
ißt 9056
! 9060

 9062
Aber 9063
die 9068
gräßlichste 9072
Gestalt 9086
hätte 9094
mir 9101
nicht 9105
tieferes 9111
Entsetzen 9120
erregen 9130
können 9138
als 9146
ebendieser 9150
Coppelius 9161
. 9170
� 9172
� 9174
Denke 9176
Dir 9182
einen 9186
großen 9192
breitschultrigen 9200
Mann 9217
mit 9222
einem 9226
unförmlich 9232
dicken 9244
Kopf 9251
, 9255
erdgelbem 9257
Gesicht 9267
, 9274
buschichten 9276
grauen 9288
Augenbrauen 9295
, 9306
unter 9308
denen 9314
ein 9320
Paar 9324
grünliche 9329
Katzenaugen 9340
stechend 9352
hervorfunkeln 9361
, 9374
großer 9376
, 9383
starker 9385
, 9392
über 9394
die 9400
Oberlippe 9404
gezogener 9414
Nase 9424
. 9428
Das 9430
schiefe 9434
Maul 9442
verzieht 9447
sich 9456
oft 9461
zum 9465
hämischen 9469
Lachen 9480
; 9486
dann 9488
werden 9493
auf 9500
den 9504
Backen 9508
ein 9515
paar 9519
dunkelrote 9524
Flecke 9535
sichtbar 9542
, 9550
und 9552
ein 9556
seltsam 9560
zischender 9568
Ton 9579
fährt 9583
durch 9590
die 9596
zusammengekniffenen 9600
Zähne 9620
. 9626
Coppelius 9628
erschien 9638
immer 9647
in 9653
einem 9656
altmodisch 9662
zugeschnittenen 9673
aschgrauen 9689
Rocke 9700
, 9705
ebensolcher 9707
Weste 9719
und 9725
gleichen 9729
Beinkleidern 9738
, 9750
aber 9752
dazu 9757
schwarze 9762
Strümpfe 9771
und 9781
Schuhe 9785
mit 9792
kleinen 9796
Steinschnallen 9804
. 9818
Die 9820
kleine 9824
Perücke 9831
reichte 9840
kaum 9848
bis 9853
über 9857
den 9863
Kopfwirbel 9867
heraus 9878
, 9884
die 9886
Kleblocken 9890
standen 9901
hoch 9909
über 9914
den 9920
großen 9924
roten 9932
Ohren 9938
, 9943
und 9945
ein 9949
breiter 9953
verschlossener 9961
Haarbeutel 9976
starrte 9987
von 9995
dem 9999
Nacken 10003
weg 10010
, 10013
so 10015
daß 10018
man 10023
die 10027
silberne 10031
Schnalle 10040
sah 10049
, 10052
die 10054
die 10058
gefältelte 10062
Halsbinde 10074
schloß 10084
. 10091
Die 10093
ganze 10097
Figur 10103
war 10109
überhaupt 10113
widrig 10124
und 10131
abscheulich 10135
; 10146
aber 10148
vor 10153
allem 10157
waren 10163
uns 10169
Kindern 10173
seine 10181
großen 10187
knotichten 10195
, 10205
haarichten 10207
Fäuste 10218
zuwider 10226
, 10233
so 10235
daß 10238
wir 10243
, 10246
was 10248
er 10252
damit 10255
berührte 10261
, 10270
nicht 10272
mehr 10278
mochten 10283
. 10290
Das 10292
hatte 10296
er 10302
bemerkt 10305
, 10312
und 10314
nun 10318
war 10322
es 10326
seine 10329
Freude 10335
, 10341
irgendein 10343
Stückchen 10353
Kuchen 10364
oder 10371
eine 10376
süße 10381
Frucht 10388
, 10394
die 10396
uns 10400
die 10404
gute 10408
Mutter 10413
heimlich 10420
auf 10429
den 10433
Teller 10437
gelegt 10444
, 10450
unter 10452
diesem 10458
oder 10465
jenem 10470
Vorwande 10476
zu 10485
berühren 10488
, 10497
daß 10499
wir 10504
, 10507
helle 10509
Tränen 10515
in 10523
den 10526
Augen 10530
, 10535
die 10537
Näscherei 10541
, 10551
der 10553
wir 10557
uns 10561
erfreuen 10565
sollten 10574
, 10581
nicht 10583
mehr 10589
genießen 10594
mochten 10604
vor 10612
Ekel 10616
und 10621
Abscheu 10625
. 10632
Ebenso 10634
machte 10641
er 10648
es 10651
, 10653
wenn 10655
uns 10660
an 10664
Feiertagen 10667
der 10678
Vater 10682
ein 10688
klein 10692
Gläschen 10698
süßen 10708
Weins 10716
eingeschenkt 10722
hatte 10735
. 10740
Dann 10742
fuhr 10747
er 10752
schnell 10755
mit 10763
der 10767
Faust 10771
herüber 10777
oder 10786
brachte 10791
wohl 10799
gar 10804
das 10808
Glas 10812
an 10817
die 10820
blauen 10824
Lippen 10831
und 10838
lachte 10842
recht 10849
teuflisch 10855
, 10864
wenn 10866
wir 10871
unsern 10875
� 10882
� 10883
rger 10884
nur 10889
leise 10893
schluchzend 10899
äußern 10911
durften 10920
. 10927
Er 10929
pflegte 10932
uns 10940
nur 10944
immer 10948
die 10954
kleinen 10958
Bestien 10966
zu 10974
nennen 10977
; 10983
wir 10985
durften 10989
, 10996
war 10998
er 11002
zugegen 11005
, 11012
keinen 11014
Laut 11021
von 11026
uns 11030
geben 11034
und 11040
verwünschten 11044
den 11058
häßlichen 11062
, 11073
feindlichen 11075
Mann 11087
, 11091
der 11093
uns 11097
recht 11101
mit 11107
Bedacht 11111
und 11119
Absicht 11123
auch 11131
die 11136
kleinste 11140
Freude 11149
verdarb 11156
. 11163
Die 11165
Mutter 11169
schien 11176
ebenso 11183
wie 11190
wir 11194
den 11198
widerwärtigen 11202
Coppelius 11217

  11226
zu 11228
hassen 11231
; 11237
denn 11239
sowie 11244
er 11250
sich 11253
zeigte 11258
, 11264
war 11266
ihr 11270
Frohsinn 11274
, 11282
ihr 11284
heiteres 11288
unbefangenes 11297
Wesen 11310
umgewandelt 11316
in 11328
traurigen 11331
, 11340
düstern 11342
Ernst 11351
. 11356
Der 11358
Vater 11362
betrug 11368
sich 11375
gegen 11380
ihn 11386
, 11389
als 11391
sei 11395
er 11399
ein 11402
höheres 11406
Wesen 11415
, 11420
dessen 11422
Unarten 11429
man 11437
dulden 11441
und 11448
das 11452
man 11456
auf 11460
jede 11464
Weise 11469
bei 11475
guter 11479
Laune 11485
erhalten 11491
müsse 11500
. 11506
Er 11508
durfte 11511
nur 11518
leise 11522
andeuten 11528
, 11536
und 11538
Lieblingsgerichte 11542
wurden 11560
gekocht 11567
und 11575
seltene 11579
Weine 11587
kredenzt 11593
. 11601

 11603
Als 11604
ich 11608
nun 11612
diesen 11616
Coppelius 11623
sah 11633
, 11636
ging 11638
es 11643
grausig 11646
und 11654
entsetzlich 11658
in 11670
meiner 11673
Seele 11680
auf 11686
, 11689
daß 11691
ja 11696
niemand 11699
anders 11707
