tok	sentstart	reported_conf	reported_pred
heraus	no	0.9816251397132874	x
.	no	0.864798367023468	x
–	yes	0.9999910593032837	x
Ach	no	0.9245784878730774	x
mein	no	0.8916926980018616	x
herzlieber	no	0.8423657417297363	x
Lothar	no	0.931216299533844	x
!	no	0.9686745405197144	x
wie	yes	0.8957993984222412	x
fange	no	0.9077622294425964	x
ich	no	0.9206711053848267	x
es	no	0.9440058469772339	x
denn	no	0.9354886412620544	x
an	no	0.8990392684936523	x
,	no	0.998158872127533	x
Dich	no	0.9254306554794312	x
nur	no	0.905799388885498	x
einigermaßen	no	0.8972086906433105	x
empfinden	no	0.8170088529586792	x
zu	no	0.8007879853248596	x
lassen	no	0.5631186962127686	x
,	no	0.9920535087585449	x
daß	no	0.9447927474975586	x
das	no	0.8784428238868713	x
,	no	0.9879140257835388	x
was	no	0.9470527768135071	x
mir	no	0.9341854453086853	x
vor	no	0.9324813485145569	x
einigen	no	0.9154864549636841	x
Tagen	no	0.8940290212631226	x
geschah	no	0.771373987197876	x
,	no	0.9873249530792236	x
denn	no	0.97137051820755	x
wirklich	no	0.9714789390563965	x
mein	no	0.9693445563316345	x
Leben	no	0.9708855152130127	x
so	no	0.9678419828414917	x
feindlich	no	0.9700244069099426	x
zerstören	no	0.9787030816078186	x
konnte	no	0.9834133386611938	x
!	no	0.9945500493049622	x
Wärst	yes	0.8737886548042297	x
Du	no	0.8807339668273926	x
nur	no	0.9031195640563965	x
hier	no	0.6324886083602905	x
,	no	0.9996302127838135	x
so	no	0.8878548741340637	x
könntest	no	0.8651580810546875	x
Du	no	0.8516745567321777	x
selbst	no	0.8285334706306458	x
schauen	no	0.5432854890823364	x
;	no	0.9999942779541016	x
aber	no	0.7571292519569397	x
jetzt	no	0.7181059122085571	x
hältst	no	0.5128377676010132	x
Du	no	0.5692514777183533	x
mich	no	0.6453592777252197	x
gewiß	no	0.6908951997756958	x
für	no	0.682848334312439	x
einen	no	0.6503976583480835	x
aberwitzigen	no	0.6663541793823242	x
Geisterseher	no	0.7725098729133606	x
.	no	0.99073326587677	x
–	yes	0.9917832612991333	x
Kurz	no	0.9688290357589722	x
und	no	0.9670900702476501	x
gut	no	0.9162696599960327	x
,	no	0.9998013377189636	x
das	no	0.929570198059082	x
Entsetzliche	no	0.9020947813987732	x
,	no	0.9877177476882935	x
was	no	0.950663685798645	x
mir	no	0.9354540109634399	x
geschah	no	0.8477060198783875	x
,	no	0.9997206330299377	x
dessen	no	0.8158184885978699	x
tödlichen	no	0.6304520964622498	x
Eindruck	no	0.6441121697425842	x
zu	no	0.5297579169273376	x
vermeiden	no	0.5389081239700317	x
ich	no	0.5159863829612732	x
mich	no	0.5709130167961121	x
vergebens	no	0.6780863404273987	x
bemühe	no	0.9319965243339539	x
,	no	0.9568178653717041	x
besteht	no	0.9021221995353699	x
in	no	0.9731128215789795	x
nichts	no	0.9382390975952148	x
anderm	no	0.5783465504646301	x
,	no	0.9995326995849609	x
als	no	0.8488452434539795	x
daß	no	0.7550450563430786	x
vor	no	0.7429476380348206	x
einigen	no	0.640023410320282	x
Tagen	no	0.5104467868804932	x
,	no	0.913753867149353	x
nämlich	no	0.7502100467681885	x
am	no	0.7050507664680481	x
30	no	0.6434844136238098	x
.	no	0.5650798678398132	x
Oktober	no	0.5355003476142883	x
,	no	0.8681356310844421	x
mittags	no	0.762322187423706	x
um	no	0.709930419921875	x
zwölf	no	0.6319071054458618	x
Uhr	no	0.5678465366363525	x
,	no	0.9539092183113098	x
ein	no	0.7494835257530212	x
Wetterglashändler	no	0.6941426396369934	x
in	no	0.7285591959953308	x
meine	no	0.6058129668235779	x
Stube	no	0.6619769930839539	x
trat	no	0.6173155903816223	x
und	no	0.997313916683197	x
mir	no	0.786787211894989	reported
seine	no	0.559872567653656	reported
Ware	no	0.6066417694091797	reported
anbot	no	0.6680616140365601	reported
.	no	0.9923807978630066	reported
Ich	yes	0.642205536365509	x
kaufte	no	0.9193457365036011	x
nichts	no	0.6441238522529602	x
und	no	0.9999079704284668	x
drohte	no	0.6725521087646484	x
,	no	0.9828862547874451	x
ihn	no	0.9279912114143372	x
die	no	0.9430148005485535	x
Treppe	no	0.9287434816360474	x
herabzuwerfen	no	0.6953704953193665	x
,	no	0.999893069267273	x
worauf	no	0.8841058015823364	x
er	no	0.8652880191802979	x
aber	no	0.8464434146881104	x
von	no	0.8407228589057922	x
selbst	no	0.8577831387519836	x
fortging	no	0.9042859077453613	x
.	no	0.966789722442627	x
Du	yes	0.8203209638595581	x
ahnest	no	0.7748944759368896	x
,	no	0.9962822794914246	x
daß	no	0.9413704872131348	x
nur	no	0.9335906505584717	x
ganz	no	0.9177781343460083	x
eigne	no	0.8785157799720764	x
,	no	0.9506540894508362	x
tief	no	0.9352769255638123	x
in	no	0.9251347184181213	x
mein	no	0.911954402923584	x
Leben	no	0.9095180630683899	x
eingreifende	no	0.9111505746841431	x
Beziehungen	no	0.913436770439148	x
diesem	no	0.8820680379867554	x
Vorfall	no	0.8016819357872009	x
Bedeutung	no	0.8238503336906433	x
geben	no	0.8799462914466858	x
können	no	0.5128492116928101	x
,	no	0.9995129108428955	x
ja	no	0.9028022885322571	x
daß	no	0.9567441344261169	x
wohl	no	0.9587622880935669	x
die	no	0.9621016979217529	x
Person	no	0.9466977119445801	x
jenes	no	0.9373732805252075	x
unglückseligen	no	0.9357020258903503	x
Krämers	no	0.9297364950180054	x
gar	no	0.946607768535614	x
feindlich	no	0.9523656368255615	x
auf	no	0.958162248134613	x
mich	no	0.9455682635307312	x
wirken	no	0.9641598463058472	x
muß	no	0.9619051218032837	x
.	no	0.9418215751647949	x
So	yes	0.9829943180084229	x
ist	no	0.9939458966255188	x
es	no	0.9925762414932251	x
in	no	0.9888689517974854	x
der	no	0.9895925521850586	x
Tat	no	0.9920849204063416	x
.	no	0.9972034692764282	x
Mit	yes	0.9571976065635681	x
aller	no	0.9582251906394958	x
Kraft	no	0.9613386988639832	x
fasse	no	0.972558856010437	x
ich	no	0.9611126780509949	x
mich	no	0.9485591053962708	x
zusammen	no	0.8601912260055542	x
,	no	0.999982476234436	x
um	no	0.6923710107803345	reported
ruhig	no	0.5710675716400146	reported
und	no	0.7964337468147278	reported
geduldig	no	0.5947793126106262	reported
Dir	no	0.5691795945167542	reported
aus	no	0.8215452432632446	reported
meiner	no	0.8411039113998413	reported
frühern	no	0.851308286190033	reported
Jugendzeit	no	0.8620247840881348	reported
so	no	0.8442884087562561	reported
viel	no	0.9725853800773621	reported
zu	no	0.9776550531387329	reported
erzählen	no	0.9998948574066162	reported
,	no	0.9763042330741882	x
daß	no	0.9506306052207947	x
Deinem	no	0.9347993731498718	x
regen	no	0.9351681470870972	x
Sinn	no	0.9040741920471191	x
alles	no	0.9070462584495544	x
klar	no	0.9016887545585632	x
und	no	0.932705819606781	x
deutlich	no	0.9326465129852295	x
in	no	0.9477561712265015	x
leuchtenden	no	0.9448192715644836	x
Bildern	no	0.9524422883987427	x
aufgehen	no	0.9734309315681458	x
wird	no	0.9791486263275146	x
.	no	0.9544517993927002	x
Indem	yes	0.7605857253074646	x
ich	no	0.7409043908119202	x
anfangen	no	0.6687828302383423	x
will	no	0.892403781414032	x
,	no	0.9994308352470398	x
höre	no	0.8093758821487427	x
ich	no	0.7302638292312622	x
Dich	no	0.5824981331825256	x
lachen	no	0.606101930141449	x
und	no	0.998674750328064	x
Klara	no	0.8462037444114685	x
sagen	no	0.9214710593223572	x
:	no	0.9282205104827881	x
„	no	0.999948263168335	x
Das	no	0.9502116441726685	x
sind	no	0.9738228917121887	x
ja	no	0.9693815112113953	x
rechte	no	0.9711353778839111	x
Kindereien	no	0.9649389386177063	x
!	no	0.9337432980537415	x
“	no	0.9987632036209106	x
–	no	0.9999505281448364	x
Lacht	no	0.7491392493247986	x
,	no	0.9999148845672607	x
ich	no	0.6064396500587463	reported
bitte	no	0.9264779090881348	reported
Euch	no	0.9967576861381531	reported
,	no	0.9955480098724365	x
lacht	no	0.8880904316902161	x
mich	no	0.7993220686912537	x
recht	no	0.7857632637023926	x
herzlich	no	0.7330259680747986	x
aus	no	0.5838291049003601	x
!	no	0.9506895542144775	x
–	yes	0.999981164932251	x
ich	no	0.7184373140335083	reported
bitt	no	0.6422498822212219	reported
Euch	no	0.8084014654159546	reported
sehr	no	0.9213442206382751	reported
!	no	0.9979107975959778	reported
–	yes	0.9853653311729431	x
Aber	no	0.9585705399513245	x
,	no	0.9962698221206665	x
Gott	no	0.9691872000694275	x
im	no	0.9596538543701172	x
Himmel	no	0.8303127884864807	x
!	no	0.9991466999053955	x
die	yes	0.9387486577033997	x
Haare	no	0.9720306396484375	x
sträuben	no	0.977135181427002	x
sich	no	0.9853857755661011	x
mir	no	0.8500075340270996	x
,	no	0.9999715089797974	x
und	no	0.851992130279541	x
es	no	0.8782771825790405	x
ist	no	0.9025840163230896	x
,	no	0.9991881251335144	x
als	no	0.8963921666145325	x
flehe	no	0.770428478717804	x
ich	no	0.7084506154060364	x
Euch	no	0.5892041325569153	x
an	no	0.5629301071166992	x
,	no	0.9978532195091248	x
mich	no	0.7419406771659851	x
auszulachen	no	0.9344667196273804	x
,	no	0.9589667916297913	x
in	no	0.8844902515411377	x
wahnsinniger	no	0.8090310096740723	x
Verzweiflung	no	0.6908149719238281	x
,	no	0.9521030783653259	x
wie	no	0.9181218147277832	x
Franz	no	0.8753350377082825	x
Moor	no	0.8792058825492859	x
den	no	0.8601272106170654	x
Daniel	no	0.8159828186035156	x
.	no	0.8666865229606628	x
–	yes	0.9994930028915405	x
Nun	no	0.9480403661727905	x
fort	no	0.9607672691345215	x
zur	no	0.9783727526664734	x
Sache	no	0.968438446521759	x
!	no	0.9299361705780029	x
Außer	yes	0.987509548664093	x
dem	no	0.9768730401992798	x
Mittagsessen	no	0.9608347415924072	x
sahen	no	0.9961997866630554	x
wir	no	0.9491825699806213	x
,	no	0.9982335567474365	x
ich	no	0.9509992003440857	x
und	no	0.952164351940155	x
mein	no	0.9286807775497437	x
Geschwister	no	0.7113461494445801	x
,	no	0.9823046922683716	x
tagüber	no	0.9685307145118713	x
den	no	0.9431699514389038	x
Vater	no	0.9370574951171875	x
wenig	no	0.9460744857788086	x
.	no	0.9737705588340759	x
Er	yes	0.8098299503326416	x
mochte	no	0.8820897340774536	x
mit	no	0.9084813594818115	x
seinem	no	0.9133713245391846	x
Dienst	no	0.9123896360397339	x
viel	no	0.9189310073852539	x
beschäftigt	no	0.9464187622070312	x
sein	no	0.9589782953262329	x
.	no	0.9498487114906311	x
Nach	yes	0.9674503207206726	x
dem	no	0.9546911716461182	x
Abendessen	no	0.8614617586135864	x
,	no	0.9997106194496155	x
das	no	0.8737986087799072	x
alter	no	0.7372639179229736	x
Sitte	no	0.5298898220062256	x
gemäß	no	0.5784119367599487	x
schon	no	0.6372210383415222	x
um	no	0.6532768607139587	x
sieben	no	0.6427367329597473	x
Uhr	no	0.6201631426811218	x
aufgetragen	no	0.5452307462692261	x
wurde	no	0.9346664547920227	x
,	no	0.9934958219528198	x
gingen	no	0.9667088389396667	x
wir	no	0.9804979562759399	x
alle	no	0.9605437517166138	x
,	no	0.9984613656997681	x
die	no	0.9547492265701294	x
Mutter	no	0.9459760189056396	x
mit	no	0.9640465974807739	x
uns	no	0.92505943775177	x
,	no	0.9939433932304382	x
in	no	0.988509476184845	x
des	no	0.9680496454238892	x
Vaters	no	0.9581078886985779	x
Arbeitszimmer	no	0.8715246915817261	x
und	no	0.9996415376663208	x
setzten	no	0.9664820432662964	x
uns	no	0.9736338257789612	x
um	no	0.9872781038284302	x
einen	no	0.9864116907119751	x
runden	no	0.9856117963790894	x
Tisch	no	0.9869446158409119	x
.	no	0.9848793148994446	x
Der	yes	0.9783880114555359	x
Vater	no	0.9761878848075867	x
rauchte	no	0.9886034727096558	x
Tabak	no	0.9339880347251892	x
und	no	0.9996637105941772	x
trank	no	0.9584388136863708	x
ein	no	0.9687618017196655	x
großes	no	0.9754519462585449	x
Glas	no	0.9833171963691711	x
Bier	no	0.9899699091911316	x
dazu	no	0.9966148734092712	x
.	no	0.9999918937683105	x
Oft	yes	0.6053817868232727	reported
erzählte	no	0.9953344464302063	reported
er	no	0.9841582775115967	reported
uns	no	0.9906513690948486	reported
viele	no	0.9974687099456787	reported
wunderbare	no	0.9953489899635315	reported
Geschichten	no	0.9999176263809204	reported
und	no	0.9931737780570984	x
geriet	no	0.9267788529396057	x
darüber	no	0.7578473091125488	x
so	no	0.8617393970489502	x
in	no	0.8627147078514099	x
Eifer	no	0.6718783974647522	x
,	no	0.9985246062278748	x
daß	no	0.9072251319885254	x
ihm	no	0.9273461103439331	x
die	no	0.9531652331352234	x
Pfeife	no	0.9511842727661133	x
immer	no	0.9445778727531433	x
ausging	no	0.808016300201416	x
,	no	0.9980979561805725	x
die	no	0.911771833896637	x
ich	no	0.6768590211868286	x
,	no	0.9803444147109985	x
ihm	no	0.922110915184021	x
brennend	no	0.8960682153701782	x
Papier	no	0.8493183851242065	x
hinhaltend	no	0.6837407350540161	x
,	no	0.9492738842964172	x
wieder	no	0.9380429983139038	x
anzünden	no	0.9375864863395691	x
mußte	no	0.5783675909042358	x
,	no	0.9994869232177734	x
welches	no	0.9111723303794861	x
mir	no	0.8796012997627258	x
denn	no	0.8621408343315125	x
ein	no	0.898965060710907	x
Hauptspaß	no	0.8993130922317505	x
war	no	0.9413262605667114	x
.	no	0.9783414602279663	x
Oft	yes	0.6937870383262634	x
gab	no	0.8396487832069397	x
er	no	0.8245863318443298	x
uns	no	0.8099844455718994	x
aber	no	0.8111726641654968	x
Bilderbücher	no	0.5800138115882874	x
in	no	0.7087884545326233	x
die	no	0.7440673112869263	x
Hände	no	0.7255489826202393	x
,	no	0.9986770749092102	x
saß	no	0.9600585103034973	x
stumm	no	0.9453439712524414	x
und	no	0.9672510027885437	x
starr	no	0.9668335914611816	x
in	no	0.98028963804245	x
seinem	no	0.9803619384765625	x
Lehnstuhl	no	0.9267424941062927	x
und	no	0.9997617602348328	x
blies	no	0.9528733491897583	x
starke	no	0.953489363193512	x
Dampfwolken	no	0.951447606086731	x
von	no	0.9520183801651001	x
sich	no	0.8627856969833374	x
,	no	0.9993371367454529	x
daß	no	0.9334374070167542	x
wir	no	0.9242904782295227	x
alle	no	0.9195385575294495	x
wie	no	0.9401664733886719	x
im	no	0.949633002281189	x
Nebel	no	0.9498062133789062	x
schwammen	no	0.9554219841957092	x
.	no	0.9635149836540222	x
An	yes	0.9635643362998962	x
solchen	no	0.9470152258872986	x
Abenden	no	0.952478289604187	x
war	no	0.9892343282699585	x
die	no	0.962317168712616	x
Mutter	no	0.9594213962554932	x
sehr	no	0.96751469373703	x
traurig	no	0.8009163737297058	x
,	no	0.9999678134918213	x
und	no	0.8511867523193359	x
kaum	no	0.8630309104919434	x
schlug	no	0.8759415149688721	x
die	no	0.847726047039032	x
Uhr	no	0.8104212284088135	x
neun	no	0.6632185578346252	x
,	no	0.9998118281364441	x
so	no	0.7613565921783447	x
sprach	no	0.9465352296829224	x
sie	no	0.9092190861701965	x
:	no	0.9366387724876404	x
„	no	0.9999749660491943	x
Nun	no	0.9212899208068848	x
,	no	0.9595341086387634	x
Kinder	no	0.9321627616882324	x
!	no	0.9002840518951416	x
–	yes	0.9936417937278748	x
zu	no	0.9745692610740662	x
Bette	no	0.9615034461021423	x
!	no	0.9946364760398865	x
zu	yes	0.9746550917625427	x
Bette	no	0.8940156698226929	x
!	no	0.999639630317688	x
der	yes	0.9276744723320007	x
Sandmann	no	0.901006281375885	x
kommt	no	0.7606666088104248	x
,	no	0.9999396800994873	x
ich	no	0.7464351654052734	x
merk	no	0.5013189315795898	x
es	no	0.7998740673065186	x
schon.	no	0.9918652176856995	x
“	no	0.9975258708000183	x
Wirklich	no	0.9096408486366272	x
hörte	no	0.914900541305542	x
ich	no	0.9113427400588989	x
dann	no	0.8970131874084473	x
jedesmal	no	0.8908025026321411	x
etwas	no	0.9122260212898254	x
schweren	no	0.9150005578994751	x
langsamen	no	0.914555549621582	x
Tritts	no	0.8331416845321655	x
die	no	0.872042179107666	x
Treppe	no	0.8547194600105286	x
heraufpoltern	no	0.5779545903205872	x
;	no	0.99968421459198	x
das	no	0.9444046020507812	x
mußte	no	0.9649960994720459	x
der	no	0.9781121015548706	x
Sandmann	no	0.9787967205047607	x
sein	no	0.9905663132667542	x
.	no	0.9959418177604675	x
Einmal	yes	0.8478710651397705	x
war	no	0.9389569163322449	x
mir	no	0.920529305934906	x
jenes	no	0.733238697052002	x
dumpfe	no	0.6420317888259888	x
Treten	no	0.5334856510162354	x
und	no	0.6746668219566345	x
Poltern	no	0.6433606743812561	x
besonders	no	0.6139163970947266	x
graulich	no	0.9028138518333435	x
;	no	0.9999513626098633	x
ich	no	0.7409714460372925	x
frug	no	0.9094663858413696	x
die	no	0.6829330325126648	x
Mutter	no	0.8979732990264893	x
,	no	0.9921473860740662	x
indem	no	0.9189204573631287	x
sie	no	0.8959611058235168	x
uns	no	0.8463518619537354	x
fortführte	no	0.8563833236694336	x
:	no	0.949764609336853	x
„	no	0.9999674558639526	x
Ei	no	0.9630411267280579	x
,	no	0.9865648746490479	x
Mama	no	0.9645797610282898	x
!	no	0.9922013282775879	x
wer	yes	0.9816303849220276	x
ist	no	0.9916029572486877	x
denn	no	0.9846407175064087	x
der	no	0.9913020133972168	x
böse	no	0.9821087121963501	x
Sandmann	no	0.9765692949295044	x
,	no	0.9983586668968201	x
der	no	0.9586123824119568	x
uns	no	0.9573522806167603	x
immer	no	0.9612007141113281	x
von	no	0.9627182483673096	x
Papa	no	0.9616960287094116	x
forttreibt	no	0.9752545356750488	x
?	no	0.9886171221733093	x
–	yes	0.9995538592338562	x
wie	no	0.9479020237922668	x
sieht	no	0.9786787629127502	x
er	no	0.9810501933097839	x
denn	no	0.979738712310791	x
aus	no	0.9837660789489746	x
?	no	0.9492486119270325	x
“	no	0.9978060126304626	x
–	no	0.9914575219154358	x
„	no	0.999962568283081	x
Es	no	0.9453390836715698	x
gibt	no	0.9682963490486145	x
keinen	no	0.969776451587677	x
Sandmann	no	0.9361294507980347	x
,	no	0.9981972575187683	x
mein	no	0.9508091807365417	x
liebes	no	0.934029757976532	x
Kind	no	0.6530666947364807	x
“	no	0.9994403719902039	x
,	no	0.9983713030815125	x
erwiderte	no	0.9930296540260315	x
die	no	0.9532399773597717	x
Mutter	no	0.7220473885536194	x
,	no	0.9998306035995483	x
„	no	0.9999772310256958	x
wenn	no	0.7114675641059875	x
ich	no	0.646219789981842	x
sage	no	0.8406355381011963	x
,	no	0.9936444759368896	x
der	no	0.9283795952796936	x
Sandmann	no	0.9071926474571228	x
kommt	no	0.6496663093566895	x
,	no	0.9999542236328125	x
so	no	0.8489780426025391	x
will	no	0.7797740697860718	x
das	no	0.5720023512840271	x
nur	no	0.5808378458023071	x
heißen	no	0.8116487860679626	x
,	no	0.9986597299575806	x
ihr	no	0.9019649624824524	x
seid	no	0.8903441429138184	x
schläfrig	no	0.6821855902671814	x
und	no	0.9987971782684326	x
könnt	no	0.9159396886825562	x
die	no	0.9210268259048462	x
Augen	no	0.9452396035194397	x
nicht	no	0.9529745578765869	x
offen	no	0.9638687968254089	x
behalten	no	0.8840205669403076	x
,	no	0.9996763467788696	x
als	no	0.8986952900886536	x
hätte	no	0.8671606779098511	x
man	no	0.8274834156036377	x
euch	no	0.7771850824356079	x
Sand	no	0.7560352087020874	x
hineingestreut.	no	0.6108095049858093	x
“	no	0.9997442364692688	x
–	no	0.9997567534446716	x
Der	no	0.745733380317688	reported
Mutter	no	0.5313230156898499	reported
Antwort	no	0.9965678453445435	reported
befriedigte	no	0.9542003273963928	reported
mich	no	0.9417992830276489	reported
nicht	no	0.9940996170043945	reported
,	no	0.9987542629241943	x
ja	no	0.8402122259140015	x
in	no	0.8424317240715027	x
meinem	no	0.8384926319122314	x
kindischen	no	0.8011666536331177	x
Gemüt	no	0.8109458684921265	x
entfaltete	no	0.8882275819778442	x
sich	no	0.9005675315856934	x
deutlich	no	0.9251793026924133	x
der	no	0.9170826077461243	x
Gedanke	no	0.9096542596817017	x
,	no	0.9998995065689087	x
daß	no	0.8815061450004578	x
die	no	0.7858834266662598	x
Mutter	no	0.7124915719032288	x
den	no	0.6075076460838318	x
Sandmann	no	0.5406734347343445	x
nur	no	0.5008374452590942	x
verleugne	no	0.941276490688324	x
,	no	0.9975069165229797	x
damit	no	0.8673667907714844	x
wir	no	0.8195840716362	x
uns	no	0.780507504940033	x
vor	no	0.7729566097259521	x
ihm	no	0.7174606919288635	x
nicht	no	0.6759448647499084	x
fürchten	no	0.5951407551765442	x
sollten	no	0.9176360964775085	x
,	no	0.9999107122421265	x
ich	no	0.7758904695510864	x
hörte	no	0.7332928776741028	x
ihn	no	0.528790295124054	x
ja	no	0.5650808215141296	x
immer	no	0.5550472140312195	x
die	no	0.5307031273841858	x
Treppe	no	0.5908305644989014	x
heraufkommen	no	0.6779382824897766	x
.	no	0.9667133688926697	x
Voll	yes	0.834223210811615	x
Neugierde	no	0.7042897939682007	x
,	no	0.9995173215866089	x
Näheres	no	0.6908028721809387	reported
von	no	0.5820821523666382	reported
diesem	no	0.644160270690918	reported
Sandmann	no	0.6533554196357727	reported
und	no	0.695898175239563	reported
seiner	no	0.7845133543014526	reported
Beziehung	no	0.8069671392440796	reported
