tok	sentstart	indirect_conf	indirect_pred
trat	no	0.9924814701080322	x
und	no	0.9968602657318115	x
mir	no	0.9963107705116272	x
seine	no	0.995594322681427	x
Ware	no	0.9958403706550598	x
anbot	no	0.996637225151062	x
.	no	0.8949251770973206	x
Ich	yes	0.9993962049484253	x
kaufte	no	0.9986146688461304	x
nichts	no	0.9954467415809631	x
und	no	0.9998056292533875	x
drohte	no	0.9996053576469421	x
,	no	0.9999092817306519	x
ihn	no	0.6052321195602417	indirect
die	no	0.9577963948249817	indirect
Treppe	no	0.983482837677002	indirect
herabzuwerfen	no	0.9999481439590454	indirect
,	no	0.6420678496360779	x
worauf	no	0.8411716818809509	x
er	no	0.9858444929122925	x
aber	no	0.99216228723526	x
von	no	0.9900302886962891	x
selbst	no	0.9952894449234009	x
fortging	no	0.9983514547348022	x
.	no	0.9965619444847107	x
Du	yes	0.9886837601661682	x
ahnest	no	0.9988798499107361	x
,	no	0.9999932050704956	x
daß	no	0.8817898631095886	indirect
nur	no	0.9904500842094421	indirect
ganz	no	0.9938035011291504	indirect
eigne	no	0.9972710013389587	indirect
,	no	0.9969647526741028	indirect
tief	no	0.9981436729431152	indirect
in	no	0.9983310103416443	indirect
mein	no	0.9980356097221375	indirect
Leben	no	0.9985987544059753	indirect
eingreifende	no	0.998749852180481	indirect
Beziehungen	no	0.9990418553352356	indirect
diesem	no	0.998068630695343	indirect
Vorfall	no	0.9979932308197021	indirect
Bedeutung	no	0.9976167678833008	indirect
geben	no	0.9991938471794128	indirect
können	no	0.9999650716781616	indirect
,	no	0.6489565968513489	indirect
ja	no	0.5509827136993408	indirect
daß	no	0.8988568186759949	indirect
wohl	no	0.9521290063858032	indirect
die	no	0.9385741949081421	indirect
Person	no	0.973097026348114	indirect
jenes	no	0.965946614742279	indirect
unglückseligen	no	0.9590780735015869	indirect
Krämers	no	0.9681501984596252	indirect
gar	no	0.9666109085083008	indirect
feindlich	no	0.9574130177497864	indirect
auf	no	0.9631168246269226	indirect
mich	no	0.9613316655158997	indirect
wirken	no	0.9718368649482727	indirect
muß	no	0.9952266216278076	indirect
.	no	0.9999760389328003	indirect
So	yes	0.9995692372322083	x
ist	no	0.999947190284729	x
es	no	0.9995841383934021	x
in	no	0.9972471594810486	x
der	no	0.9972941279411316	x
Tat	no	0.998670220375061	x
.	no	0.9957833290100098	x
Mit	yes	0.9818383455276489	x
aller	no	0.9800314903259277	x
Kraft	no	0.9976364374160767	x
fasse	no	0.9952179193496704	x
ich	no	0.9996250867843628	x
mich	no	0.9888604283332825	x
zusammen	no	0.988808810710907	x
,	no	0.9996482133865356	x
um	no	0.9610298871994019	x
ruhig	no	0.9828457236289978	x
und	no	0.9896544218063354	x
geduldig	no	0.9943898320198059	x
Dir	no	0.9931524991989136	x
aus	no	0.9940869808197021	x
meiner	no	0.9936202168464661	x
frühern	no	0.9938242435455322	x
Jugendzeit	no	0.9960969090461731	x
so	no	0.9943804144859314	x
viel	no	0.9956413507461548	x
zu	no	0.9951276779174805	x
erzählen	no	0.9931968450546265	x
,	no	0.9999657869338989	x
daß	no	0.7508372068405151	x
Deinem	no	0.654358446598053	x
regen	no	0.7218430042266846	x
Sinn	no	0.744788646697998	x
alles	no	0.6858217120170593	x
klar	no	0.655410885810852	x
und	no	0.8023653030395508	x
deutlich	no	0.7812261581420898	x
in	no	0.7993348836898804	x
leuchtenden	no	0.7973027229309082	x
Bildern	no	0.8224859237670898	x
aufgehen	no	0.8970400094985962	x
wird	no	0.8711324334144592	x
.	no	0.7039799094200134	x
Indem	yes	0.9741506576538086	x
ich	no	0.9961501359939575	x
anfangen	no	0.9921020865440369	x
will	no	0.6829352378845215	x
,	no	0.9999945163726807	x
höre	no	0.9682921171188354	x
ich	no	0.9993593096733093	x
Dich	no	0.9824032783508301	x
lachen	no	0.7576581835746765	x
und	no	0.9787859916687012	x
Klara	no	0.9910730719566345	x
sagen	no	0.9095553755760193	x
:	no	0.9764763712882996	x
„	no	0.9547351002693176	x
Das	no	0.9969024062156677	x
sind	no	0.9987300038337708	x
ja	no	0.99772709608078	x
rechte	no	0.9972460269927979	x
Kindereien	no	0.9958661794662476	x
!	no	0.9858119487762451	x
“	no	0.9995433688163757	x
–	no	0.9999285936355591	x
Lacht	no	0.8431441187858582	x
,	no	0.9999123811721802	x
ich	no	0.9991527795791626	x
bitte	no	0.9999099969863892	x
Euch	no	0.9943355917930603	x
,	no	0.9999966621398926	x
lacht	no	0.889251172542572	x
mich	no	0.8410776853561401	x
recht	no	0.8613712787628174	x
herzlich	no	0.7777915000915527	x
aus	no	0.6827709674835205	x
!	no	0.908636748790741	x
–	yes	0.998336911201477	x
ich	no	0.979848325252533	x
bitt	no	0.999724805355072	x
Euch	no	0.9985491633415222	x
sehr	no	0.9965272545814514	x
!	no	0.9981433153152466	x
–	yes	0.9990839958190918	x
Aber	no	0.8779075145721436	x
,	no	0.9984530210494995	x
Gott	no	0.989626407623291	x
im	no	0.992979109287262	x
Himmel	no	0.9969182014465332	x
!	no	0.9990228414535522	x
die	yes	0.9681042432785034	x
Haare	no	0.9886258244514465	x
sträuben	no	0.9974800944328308	x
sich	no	0.995961606502533	x
mir	no	0.9934938549995422	x
,	no	0.9999748468399048	x
und	no	0.9863388538360596	x
es	no	0.992382824420929	x
ist	no	0.6931440234184265	x
,	no	0.9996815919876099	x
als	no	0.9663302898406982	x
flehe	no	0.997519314289093	x
ich	no	0.9989836812019348	x
Euch	no	0.9952379465103149	x
an	no	0.9957050681114197	x
,	no	0.9999128580093384	x
mich	no	0.5647258162498474	x
auszulachen	no	0.9868415594100952	x
,	no	0.7615289092063904	x
in	no	0.8009980320930481	x
wahnsinniger	no	0.9055559039115906	x
Verzweiflung	no	0.9920816421508789	x
,	no	0.967825710773468	x
wie	no	0.5007413625717163	x
Franz	no	0.5469486117362976	x
Moor	no	0.6060602068901062	x
den	no	0.6951689124107361	x
Daniel	no	0.8229710459709167	x
.	no	0.9885297417640686	x
–	yes	0.617034912109375	x
Nun	no	0.5498319864273071	x
fort	no	0.5923260450363159	x
zur	no	0.6876897811889648	x
Sache	no	0.7595378160476685	x
!	no	0.8881182074546814	x
Außer	yes	0.9823384881019592	x
dem	no	0.9949540495872498	x
Mittagsessen	no	0.9999189376831055	x
sahen	no	0.9814286231994629	x
wir	no	0.989962637424469	x
,	no	0.9999865293502808	x
ich	no	0.9801077842712402	x
und	no	0.9949681162834167	x
mein	no	0.9963948130607605	x
Geschwister	no	0.99562007188797	x
,	no	0.9996094107627869	x
tagüber	no	0.9173172116279602	x
den	no	0.9435645937919617	x
Vater	no	0.960884153842926	x
wenig	no	0.9802440404891968	x
.	no	0.9904871582984924	x
Er	yes	0.9884907007217407	x
mochte	no	0.9923912882804871	x
mit	no	0.9893490076065063	x
seinem	no	0.989176332950592	x
Dienst	no	0.9942612648010254	x
viel	no	0.9951789379119873	x
beschäftigt	no	0.9967431426048279	x
sein	no	0.9978318810462952	x
.	no	0.957332968711853	x
Nach	yes	0.9995817542076111	x
dem	no	0.9966031312942505	x
Abendessen	no	0.9904076457023621	x
,	no	0.9998499155044556	x
das	no	0.9938327074050903	x
alter	no	0.9961573481559753	x
Sitte	no	0.9968165755271912	x
gemäß	no	0.9969484210014343	x
schon	no	0.9943057894706726	x
um	no	0.9951830506324768	x
sieben	no	0.9947043061256409	x
Uhr	no	0.9976906776428223	x
aufgetragen	no	0.9983160495758057	x
wurde	no	0.9932253956794739	x
,	no	0.9998855590820312	x
gingen	no	0.9882177710533142	x
wir	no	0.996027946472168	x
alle	no	0.9932830333709717	x
,	no	0.9993646740913391	x
die	no	0.9915736317634583	x
Mutter	no	0.9981846213340759	x
mit	no	0.9973733425140381	x
uns	no	0.995922327041626	x
,	no	0.9997687935829163	x
in	no	0.980985701084137	x
des	no	0.9878866672515869	x
Vaters	no	0.9898781776428223	x
Arbeitszimmer	no	0.9937042593955994	x
und	no	0.9994335770606995	x
setzten	no	0.9949641227722168	x
uns	no	0.9953670501708984	x
um	no	0.9946485161781311	x
einen	no	0.995836615562439	x
runden	no	0.995786726474762	x
Tisch	no	0.9971586465835571	x
.	no	0.9854536056518555	x
Der	yes	0.998522937297821	x
Vater	no	0.9993149042129517	x
rauchte	no	0.9981564879417419	x
Tabak	no	0.9986966252326965	x
und	no	0.99931800365448	x
trank	no	0.9987185001373291	x
ein	no	0.9971201419830322	x
großes	no	0.9955078363418579	x
Glas	no	0.9963350296020508	x
Bier	no	0.9969567060470581	x
dazu	no	0.9963082671165466	x
.	no	0.9618733525276184	x
Oft	yes	0.9998063445091248	x
erzählte	no	0.9998345375061035	x
er	no	0.9999088048934937	x
uns	no	0.9987290501594543	x
viele	no	0.9935077428817749	x
wunderbare	no	0.9899871945381165	x
Geschichten	no	0.9825091361999512	x
und	no	0.9997374415397644	x
geriet	no	0.9983500242233276	x
darüber	no	0.995711088180542	x
so	no	0.9960175156593323	x
in	no	0.9954848289489746	x
Eifer	no	0.9911617040634155	x
,	no	0.9999657869338989	x
daß	no	0.9671657681465149	x
ihm	no	0.9854004979133606	x
die	no	0.9946333169937134	x
Pfeife	no	0.9967605471611023	x
immer	no	0.9941195249557495	x
ausging	no	0.9876294136047363	x
,	no	0.9997479319572449	x
die	no	0.9669216275215149	x
ich	no	0.9849346876144409	x
,	no	0.9983585476875305	x
ihm	no	0.9912105798721313	x
brennend	no	0.9928827285766602	x
Papier	no	0.9943348169326782	x
hinhaltend	no	0.9895666837692261	x
,	no	0.9990359544754028	x
wieder	no	0.990583062171936	x
anzünden	no	0.9865083694458008	x
mußte	no	0.6738139390945435	x
,	no	0.9968780279159546	x
welches	no	0.9929795861244202	x
mir	no	0.9950149655342102	x
denn	no	0.9951016306877136	x
ein	no	0.9963515996932983	x
Hauptspaß	no	0.9955700039863586	x
war	no	0.9929405450820923	x
.	no	0.9847661256790161	x
Oft	yes	0.9998761415481567	x
gab	no	0.9982132911682129	x
er	no	0.9993695616722107	x
uns	no	0.9977021813392639	x
aber	no	0.997112512588501	x
Bilderbücher	no	0.9951120018959045	x
in	no	0.9932542443275452	x
die	no	0.9950684309005737	x
Hände	no	0.9926280379295349	x
,	no	0.9999678134918213	x
saß	no	0.9792479276657104	x
stumm	no	0.9919048547744751	x
und	no	0.996772825717926	x
starr	no	0.9974731802940369	x
in	no	0.9914782643318176	x
seinem	no	0.995662271976471	x
Lehnstuhl	no	0.9981702566146851	x
und	no	0.9995255470275879	x
blies	no	0.9961775541305542	x
starke	no	0.9975103139877319	x
Dampfwolken	no	0.9987388253211975	x
von	no	0.9946030974388123	x
sich	no	0.9969415068626404	x
,	no	0.9998916387557983	x
daß	no	0.9246335029602051	x
wir	no	0.9618663787841797	x
alle	no	0.9677348136901855	x
wie	no	0.9844211339950562	x
im	no	0.978256344795227	x
Nebel	no	0.9927574396133423	x
schwammen	no	0.9960774779319763	x
.	no	0.9595754742622375	x
An	yes	0.9990891218185425	x
solchen	no	0.9979146122932434	x
Abenden	no	0.9996755123138428	x
war	no	0.9965972304344177	x
die	no	0.9962117671966553	x
Mutter	no	0.9985406398773193	x
sehr	no	0.9960135221481323	x
traurig	no	0.9955288767814636	x
,	no	0.9999375343322754	x
und	no	0.9969947338104248	x
kaum	no	0.9988189339637756	x
schlug	no	0.9968158602714539	x
die	no	0.9973862767219543	x
Uhr	no	0.9981299042701721	x
neun	no	0.9913055300712585	x
,	no	0.9999364614486694	x
so	no	0.9931241869926453	x
sprach	no	0.9988117218017578	x
sie	no	0.9990549683570862	x
:	no	0.9994359612464905	x
„	no	0.9973568916320801	x
Nun	no	0.9833824038505554	x
,	no	0.9980250597000122	x
Kinder	no	0.9957764744758606	x
!	no	0.9979884624481201	x
–	yes	0.999404788017273	x
zu	no	0.9760853052139282	x
Bette	no	0.9897984266281128	x
!	no	0.9956263303756714	x
zu	yes	0.9956406354904175	x
Bette	no	0.9973658919334412	x
!	no	0.9978919625282288	x
der	yes	0.9911105632781982	x
Sandmann	no	0.9908910393714905	x
kommt	no	0.91083824634552	x
,	no	0.9999502897262573	x
ich	no	0.9990620017051697	x
merk	no	0.9998514652252197	x
es	no	0.9941132664680481	x
schon.	no	0.9632593989372253	x
“	no	0.9993010759353638	x
Wirklich	no	0.9995324611663818	x
hörte	no	0.9983863830566406	x
ich	no	0.9999574422836304	x
dann	no	0.9993641972541809	x
jedesmal	no	0.9995425939559937	x
etwas	no	0.995741605758667	x
schweren	no	0.9968344569206238	x
langsamen	no	0.9973674416542053	x
Tritts	no	0.9983008503913879	x
die	no	0.9865773916244507	x
Treppe	no	0.9916689395904541	x
heraufpoltern	no	0.7135214805603027	x
;	no	0.9999924898147583	x
das	no	0.9890546798706055	x
mußte	no	0.9976280331611633	x
der	no	0.9942705631256104	x
Sandmann	no	0.9977613687515259	x
sein	no	0.9983345866203308	x
.	no	0.9969538450241089	x
Einmal	yes	0.9997207522392273	x
war	no	0.9988583326339722	x
mir	no	0.999512791633606	x
jenes	no	0.9979706406593323	x
dumpfe	no	0.9926429390907288	x
Treten	no	0.9871108531951904	x
und	no	0.9959546327590942	x
Poltern	no	0.9932426810264587	x
besonders	no	0.9872433543205261	x
graulich	no	0.7926560640335083	x
;	no	0.9999834299087524	x
ich	no	0.9976115226745605	x
frug	no	0.9997825026512146	x
die	no	0.9939680099487305	x
Mutter	no	0.9971264004707336	x
,	no	0.9999916553497314	x
indem	no	0.932212769985199	x
sie	no	0.9806190729141235	x
uns	no	0.9891381859779358	x
fortführte	no	0.9963552951812744	x
:	no	0.9986644983291626	x
„	no	0.9989756345748901	x
Ei	no	0.9523789286613464	x
,	no	0.999796450138092	x
Mama	no	0.9947191476821899	x
!	no	0.9997475743293762	x
wer	yes	0.9857046604156494	x
ist	no	0.9986925721168518	x
denn	no	0.9987785220146179	x
der	no	0.9974408149719238	x
böse	no	0.9977972507476807	x
Sandmann	no	0.9981414079666138	x
,	no	0.9987583160400391	x
der	no	0.9909865260124207	x
uns	no	0.9952013492584229	x
immer	no	0.99724942445755	x
von	no	0.9953977465629578	x
Papa	no	0.9971356391906738	x
forttreibt	no	0.9975538849830627	x
?	no	0.9953631162643433	x
–	yes	0.9999163150787354	x
wie	no	0.9630104899406433	x
sieht	no	0.9784947633743286	x
er	no	0.9886130094528198	x
denn	no	0.9912450909614563	x
aus	no	0.9911335110664368	x
?	no	0.8872101902961731	x
“	no	0.9974784255027771	x
–	no	0.9992550015449524	x
„	no	0.998903751373291	x
Es	no	0.9975646734237671	x
gibt	no	0.9995555281639099	x
keinen	no	0.9977204203605652	x
Sandmann	no	0.9837133884429932	x
,	no	0.9999783039093018	x
mein	no	0.9975942969322205	x
liebes	no	0.9986703395843506	x
Kind	no	0.9979045391082764	x
“	no	0.9997829794883728	x
,	no	0.9999628067016602	x
erwiderte	no	0.9987744688987732	x
die	no	0.9998226761817932	x
Mutter	no	0.9990819692611694	x
,	no	0.9999599456787109	x
„	no	0.9997727274894714	x
wenn	no	0.9092759490013123	x
ich	no	0.9827305674552917	x
sage	no	0.9722639918327332	x
,	no	0.9999901056289673	x
der	no	0.49220120906829834	indirect
Sandmann	no	0.9642826318740845	indirect
kommt	no	0.9996695518493652	indirect
,	no	0.5924621820449829	x
so	no	0.6463075280189514	x
will	no	0.8175700306892395	x
das	no	0.5241902470588684	x
nur	no	0.6607804894447327	x
heißen	no	0.7756577730178833	x
,	no	0.9984471201896667	x
ihr	no	0.9063881635665894	x
seid	no	0.9189192652702332	x
schläfrig	no	0.7827203273773193	x
und	no	0.9550440907478333	x
könnt	no	0.9513852000236511	x
die	no	0.8994601368904114	x
Augen	no	0.8971107602119446	x
nicht	no	0.9401769042015076	x
offen	no	0.9435728788375854	x
behalten	no	0.577125608921051	x
,	no	0.9767650961875916	x
als	no	0.8915106654167175	x
hätte	no	0.8353337645530701	x
man	no	0.8566697835922241	x
euch	no	0.8919047713279724	x
Sand	no	0.8386131525039673	x
hineingestreut.	no	0.9540458917617798	x
“	no	0.5507866740226746	x
–	no	0.9848712086677551	x
Der	no	0.9950047135353088	x
Mutter	no	0.9998897314071655	x
Antwort	no	0.9999643564224243	x
befriedigte	no	0.999512791633606	x
mich	no	0.9994258880615234	x
nicht	no	0.9921278953552246	x
,	no	0.999900221824646	x
ja	no	0.9720485806465149	x
in	no	0.9823092818260193	x
meinem	no	0.9927567839622498	x
kindischen	no	0.9971981048583984	x
Gemüt	no	0.9997435212135315	x
entfaltete	no	0.9910906553268433	x
sich	no	0.9950785636901855	x
deutlich	no	0.9956247210502625	x
der	no	0.9983552098274231	x
Gedanke	no	0.9994910955429077	x
,	no	0.9999899864196777	x
daß	no	0.6962385177612305	indirect
die	no	0.9457427859306335	indirect
Mutter	no	0.989501416683197	indirect
den	no	0.9957587122917175	indirect
Sandmann	no	0.9982890486717224	indirect
nur	no	0.9988492727279663	indirect
verleugne	no	0.9998539686203003	indirect
,	no	0.898380696773529	indirect
damit	no	0.988325834274292	indirect
wir	no	0.9932243227958679	indirect
uns	no	0.9927182197570801	indirect
vor	no	0.994606077671051	indirect
ihm	no	0.9944459199905396	indirect
nicht	no	0.9933943152427673	indirect
fürchten	no	0.9976563453674316	indirect
sollten	no	0.9999837875366211	indirect
,	no	0.5461181998252869	x
ich	no	0.976241409778595	x
hörte	no	0.9983378648757935	x
ihn	no	0.9985941052436829	x
ja	no	0.9968066215515137	x
immer	no	0.9951092600822449	x
die	no	0.993536114692688	x
Treppe	no	0.9966865181922913	x
heraufkommen	no	0.48787838220596313	x
.	no	0.9933605790138245	x
Voll	yes	0.7758937478065491	x
Neugierde	no	0.9059754610061646	x
,	no	0.9996812343597412	x
Näheres	no	0.9882832765579224	x
von	no	0.9872837066650391	x
diesem	no	0.9838623404502869	x
