tok	sentstart	freeIndirect_conf	freeIndirect_pred
.	no	0.9948974251747131	x
Ich	yes	0.9996077418327332	x
muß	no	0.9989240765571594	x
es	no	0.9987508058547974	x
,	no	0.9987503290176392	x
das	no	0.9985859394073486	x
sehe	no	0.9984272718429565	x
ich	no	0.9984752535820007	x
ein	no	0.9984723925590515	x
,	no	0.9986037611961365	x
aber	no	0.998532772064209	x
nur	no	0.998518168926239	x
es	no	0.9986164569854736	x
denkend	no	0.9984903335571289	x
,	no	0.9986087679862976	x
lacht	no	0.99857497215271	x
es	no	0.9984773993492126	x
wie	no	0.9985077977180481	x
toll	no	0.9986263513565063	x
aus	no	0.9986791014671326	x
mir	no	0.9985963702201843	x
heraus	no	0.9988551139831543	x
.	no	0.9997602105140686	x
–	yes	0.9992395639419556	x
Ach	no	0.9936840534210205	x
mein	no	0.992470383644104	x
herzlieber	no	0.9909214377403259	x
Lothar	no	0.9918413162231445	x
!	no	0.9880985617637634	x
wie	yes	0.9939736723899841	x
fange	no	0.9953498840332031	x
ich	no	0.9960554838180542	x
es	no	0.9963764548301697	x
denn	no	0.9972472786903381	x
an	no	0.9979050159454346	x
,	no	0.9981233477592468	x
Dich	no	0.9982467889785767	x
nur	no	0.9982929825782776	x
einigermaßen	no	0.9983218312263489	x
empfinden	no	0.9982815980911255	x
zu	no	0.9983626008033752	x
lassen	no	0.9986653327941895	x
,	no	0.9986311793327332	x
daß	no	0.9985294342041016	x
das	no	0.9985488057136536	x
,	no	0.998664379119873	x
was	no	0.9984732270240784	x
mir	no	0.9986211061477661	x
vor	no	0.9985972046852112	x
einigen	no	0.9985723495483398	x
Tagen	no	0.9986971020698547	x
geschah	no	0.9989141225814819	x
,	no	0.9988747239112854	x
denn	no	0.9986420273780823	x
wirklich	no	0.9986724853515625	x
mein	no	0.9985993504524231	x
Leben	no	0.99818354845047	x
so	no	0.9981275200843811	x
feindlich	no	0.99822598695755	x
zerstören	no	0.9980865716934204	x
konnte	no	0.9980359673500061	x
!	no	0.9975244402885437	x
Wärst	yes	0.8853298425674438	x
Du	no	0.9258864521980286	x
nur	no	0.9362349510192871	x
hier	no	0.9559513926506042	x
,	no	0.9643415212631226	x
so	no	0.9694610834121704	x
könntest	no	0.9724763035774231	x
Du	no	0.9766248464584351	x
selbst	no	0.9780445694923401	x
schauen	no	0.9795964956283569	x
;	no	0.9928239583969116	x
aber	no	0.9916248917579651	x
jetzt	no	0.9911534190177917	x
hältst	no	0.9901100993156433	x
Du	no	0.9903135299682617	x
mich	no	0.9901283383369446	x
gewiß	no	0.9913097620010376	x
für	no	0.9913200736045837	x
einen	no	0.9914413690567017	x
aberwitzigen	no	0.9913830161094666	x
Geisterseher	no	0.9911490678787231	x
.	no	0.9560064077377319	x
–	yes	0.9575974345207214	x
Kurz	no	0.9995800852775574	x
und	no	0.9987384676933289	x
gut	no	0.9989942908287048	x
,	no	0.9987820982933044	x
das	no	0.9985944628715515	x
Entsetzliche	no	0.9985904097557068	x
,	no	0.9984942674636841	x
was	no	0.9983697533607483	x
mir	no	0.9985411167144775	x
geschah	no	0.9987240433692932	x
,	no	0.9986873269081116	x
dessen	no	0.9986112117767334	x
tödlichen	no	0.9984903335571289	x
Eindruck	no	0.9986417889595032	x
zu	no	0.9985437393188477	x
vermeiden	no	0.9987950325012207	x
ich	no	0.9989903569221497	x
mich	no	0.9988204836845398	x
vergebens	no	0.9986716508865356	x
bemühe	no	0.9989546537399292	x
,	no	0.9989901185035706	x
besteht	no	0.9987529516220093	x
in	no	0.9986061453819275	x
nichts	no	0.9986525177955627	x
anderm	no	0.9987384676933289	x
,	no	0.998754620552063	x
als	no	0.998620867729187	x
daß	no	0.9986721277236938	x
vor	no	0.9985862970352173	x
einigen	no	0.9985595345497131	x
Tagen	no	0.998646080493927	x
,	no	0.9987894892692566	x
nämlich	no	0.9986925721168518	x
am	no	0.998728334903717	x
30	no	0.998708963394165	x
.	no	0.9993556141853333	x
Oktober	no	0.9994655251502991	x
,	no	0.998903751373291	x
mittags	no	0.999010443687439	x
um	no	0.9987902045249939	x
zwölf	no	0.9988584518432617	x
Uhr	no	0.998946487903595	x
,	no	0.9988412261009216	x
ein	no	0.9986163377761841	x
Wetterglashändler	no	0.9986951947212219	x
in	no	0.9986292123794556	x
meine	no	0.9986454844474792	x
Stube	no	0.9987472295761108	x
trat	no	0.9989707469940186	x
und	no	0.9987831711769104	x
mir	no	0.998746395111084	x
seine	no	0.9985803365707397	x
Ware	no	0.9988157749176025	x
anbot	no	0.9990142583847046	x
.	no	0.9996283054351807	x
Ich	yes	0.9986794590950012	x
kaufte	no	0.9978860020637512	x
nichts	no	0.9983598589897156	x
und	no	0.9986785054206848	x
drohte	no	0.9987049102783203	x
,	no	0.9987248778343201	x
ihn	no	0.9985861778259277	x
die	no	0.9985538125038147	x
Treppe	no	0.9988204836845398	x
herabzuwerfen	no	0.9990352392196655	x
,	no	0.9988459348678589	x
worauf	no	0.9985015392303467	x
er	no	0.9984931945800781	x
aber	no	0.9984924793243408	x
von	no	0.998458981513977	x
selbst	no	0.9985584616661072	x
fortging	no	0.9986054301261902	x
.	no	0.999688982963562	x
Du	yes	0.939357578754425	x
ahnest	no	0.955272376537323	x
,	no	0.9573458433151245	x
daß	no	0.95698082447052	x
nur	no	0.9590552449226379	x
ganz	no	0.9597902297973633	x
eigne	no	0.9624712467193604	x
,	no	0.9691874384880066	x
tief	no	0.9738515019416809	x
in	no	0.9759956002235413	x
mein	no	0.9780686497688293	x
Leben	no	0.9816163778305054	x
eingreifende	no	0.9837528467178345	x
Beziehungen	no	0.987835705280304	x
diesem	no	0.9900431632995605	x
Vorfall	no	0.9920509457588196	x
Bedeutung	no	0.9935299754142761	x
geben	no	0.9948012828826904	x
können	no	0.9961380362510681	x
,	no	0.9970479607582092	x
ja	no	0.997869610786438	x
daß	no	0.9979556798934937	x
wohl	no	0.9982426166534424	x
die	no	0.9982411861419678	x
Person	no	0.9983843564987183	x
jenes	no	0.9985128045082092	x
unglückseligen	no	0.9985371828079224	x
Krämers	no	0.9985412359237671	x
gar	no	0.9986180067062378	x
feindlich	no	0.9986379742622375	x
auf	no	0.9985418319702148	x
mich	no	0.9986680746078491	x
wirken	no	0.9986494183540344	x
muß	no	0.9987009763717651	x
.	no	0.9968698620796204	x
So	yes	0.9997326731681824	x
ist	no	0.9990137815475464	x
es	no	0.9986453652381897	x
in	no	0.9986374974250793	x
der	no	0.9985431432723999	x
Tat	no	0.9983298182487488	x
.	no	0.9651873111724854	x
Mit	yes	0.999618649482727	x
aller	no	0.9991030693054199	x
Kraft	no	0.9991692304611206	x
fasse	no	0.9991274476051331	x
ich	no	0.9989100694656372	x
mich	no	0.9987700581550598	x
zusammen	no	0.9986321330070496	x
,	no	0.9987336993217468	x
um	no	0.9985889792442322	x
ruhig	no	0.9986695051193237	x
und	no	0.9985927939414978	x
geduldig	no	0.99871826171875	x
Dir	no	0.9989603757858276	x
aus	no	0.9986079335212708	x
meiner	no	0.9985231757164001	x
frühern	no	0.9985622763633728	x
Jugendzeit	no	0.9985998272895813	x
so	no	0.9985653758049011	x
viel	no	0.9986547231674194	x
zu	no	0.9985785484313965	x
erzählen	no	0.9990330934524536	x
,	no	0.9987810254096985	x
daß	no	0.9986065030097961	x
Deinem	no	0.9987708926200867	x
regen	no	0.9985711574554443	x
Sinn	no	0.998579740524292	x
alles	no	0.998781144618988	x
klar	no	0.998938262462616	x
und	no	0.9986777901649475	x
deutlich	no	0.9988056421279907	x
in	no	0.9986432194709778	x
leuchtenden	no	0.9985961318016052	x
Bildern	no	0.998745322227478	x
aufgehen	no	0.9988294243812561	x
wird	no	0.9989802241325378	x
.	no	0.9996662139892578	x
Indem	yes	0.9137613773345947	x
ich	no	0.9485277533531189	x
anfangen	no	0.9570122957229614	x
will	no	0.9657756090164185	x
,	no	0.9754801988601685	x
höre	no	0.982849657535553	x
ich	no	0.9876963496208191	x
Dich	no	0.9904928803443909	x
lachen	no	0.9928136467933655	x
und	no	0.9935370087623596	x
Klara	no	0.9941118359565735	x
sagen	no	0.9913740754127502	x
:	no	0.9978823065757751	x
„	no	0.9996169805526733	x
Das	no	0.992268979549408	x
sind	no	0.9921844601631165	x
ja	no	0.9945971965789795	x
rechte	no	0.9947146773338318	x
Kindereien	no	0.995600700378418	x
!	no	0.9982452392578125	x
“	no	0.999995231628418	x
–	no	0.9705190658569336	x
Lacht	no	0.9701457619667053	x
,	no	0.9817293286323547	x
ich	no	0.9849137663841248	x
bitte	no	0.9852545261383057	x
Euch	no	0.9883204698562622	x
,	no	0.99100261926651	x
lacht	no	0.9926052093505859	x
mich	no	0.994170606136322	x
recht	no	0.9946459531784058	x
herzlich	no	0.9952090382575989	x
aus	no	0.9962827563285828	x
!	no	0.9976268410682678	x
–	yes	0.9991770386695862	x
ich	no	0.9989225268363953	x
bitt	no	0.9987109899520874	x
Euch	no	0.9987624883651733	x
sehr	no	0.9987761378288269	x
!	no	0.999474823474884	x
–	yes	0.9995272159576416	x
Aber	no	0.9950259327888489	x
,	no	0.9951258301734924	x
Gott	no	0.991333544254303	x
im	no	0.9914820194244385	x
Himmel	no	0.9930056929588318	x
!	no	0.9818134307861328	x
die	yes	0.9976147413253784	x
Haare	no	0.9984685778617859	x
sträuben	no	0.9984787106513977	x
sich	no	0.9986340403556824	x
mir	no	0.9986652135848999	x
,	no	0.9987050294876099	x
und	no	0.9985652565956116	x
es	no	0.9985522627830505	x
ist	no	0.9985541701316833	x
,	no	0.9987105131149292	x
als	no	0.998651921749115	x
flehe	no	0.9984954595565796	x
ich	no	0.9985628724098206	x
Euch	no	0.998539924621582	x
an	no	0.9985852241516113	x
,	no	0.9986448884010315	x
mich	no	0.9985538125038147	x
auszulachen	no	0.998701810836792	x
,	no	0.9986841082572937	x
in	no	0.9985607266426086	x
wahnsinniger	no	0.9984970092773438	x
Verzweiflung	no	0.9987775683403015	x
,	no	0.9987688660621643	x
wie	no	0.9984203577041626	x
Franz	no	0.9985789060592651	x
Moor	no	0.9986934065818787	x
den	no	0.9985963702201843	x
Daniel	no	0.9988049268722534	x
.	no	0.9998635053634644	x
–	yes	0.9989365935325623	x
Nun	no	0.9934080839157104	x
fort	no	0.9920291304588318	x
zur	no	0.9906744360923767	x
Sache	no	0.9867857098579407	x
!	no	0.7475346326828003	x
Außer	yes	0.9947535991668701	x
dem	no	0.9973262548446655	x
Mittagsessen	no	0.9986616373062134	x
sahen	no	0.998939573764801	x
wir	no	0.9988522529602051	x
,	no	0.9988564252853394	x
ich	no	0.998738706111908	x
und	no	0.998573899269104	x
mein	no	0.9986857771873474	x
Geschwister	no	0.9986743927001953	x
,	no	0.998689591884613	x
tagüber	no	0.9985775947570801	x
den	no	0.9984819293022156	x
Vater	no	0.998518168926239	x
wenig	no	0.9986218214035034	x
.	no	0.9996079802513123	x
Er	yes	0.67057865858078	x
mochte	no	0.6795694231987	x
mit	no	0.6595290303230286	x
seinem	no	0.647988498210907	x
Dienst	no	0.6535911560058594	x
viel	no	0.6626501083374023	x
beschäftigt	no	0.6768203973770142	x
sein	no	0.5249421000480652	x
.	no	0.9916850328445435	x
Nach	yes	0.8085736632347107	x
dem	no	0.9363403916358948	x
Abendessen	no	0.9676437377929688	x
,	no	0.9743013381958008	x
das	no	0.9780762791633606	x
alter	no	0.9816492199897766	x
Sitte	no	0.9869391918182373	x
gemäß	no	0.9912035465240479	x
schon	no	0.9937791228294373	x
um	no	0.9948439598083496	x
sieben	no	0.996020495891571	x
Uhr	no	0.9976581335067749	x
aufgetragen	no	0.9983296990394592	x
wurde	no	0.9987190961837769	x
,	no	0.9989567995071411	x
gingen	no	0.9990443587303162	x
wir	no	0.9989542961120605	x
alle	no	0.9987383484840393	x
,	no	0.9987326264381409	x
die	no	0.9986312985420227	x
Mutter	no	0.9986227750778198	x
mit	no	0.9985527396202087	x
uns	no	0.9987056255340576	x
,	no	0.9987088441848755	x
in	no	0.9986121654510498	x
des	no	0.9986945986747742	x
Vaters	no	0.9986409544944763	x
Arbeitszimmer	no	0.9988588094711304	x
und	no	0.9989436268806458	x
setzten	no	0.9988817572593689	x
uns	no	0.9988555908203125	x
um	no	0.9988014698028564	x
einen	no	0.9987621307373047	x
runden	no	0.9987300038337708	x
Tisch	no	0.9989558458328247	x
.	no	0.9986714124679565	x
Der	yes	0.9994791150093079	x
Vater	no	0.9991363883018494	x
rauchte	no	0.9989387392997742	x
Tabak	no	0.9989339709281921	x
und	no	0.9990338087081909	x
trank	no	0.9990052580833435	x
ein	no	0.9987468719482422	x
großes	no	0.9988027811050415	x
Glas	no	0.9990853071212769	x
Bier	no	0.9991746544837952	x
dazu	no	0.9992534518241882	x
.	no	0.9995809197425842	x
Oft	yes	0.9986039996147156	x
erzählte	no	0.998884379863739	x
er	no	0.9987239241600037	x
uns	no	0.9987884163856506	x
viele	no	0.9987123012542725	x
wunderbare	no	0.9986530542373657	x
Geschichten	no	0.9989399313926697	x
und	no	0.99883633852005	x
geriet	no	0.9986189603805542	x
darüber	no	0.9986245632171631	x
so	no	0.9985466599464417	x
in	no	0.9984910488128662	x
Eifer	no	0.9985535740852356	x
,	no	0.998786985874176	x
daß	no	0.998663067817688	x
ihm	no	0.9986078143119812	x
die	no	0.9985460042953491	x
Pfeife	no	0.9986771941184998	x
immer	no	0.99866783618927	x
ausging	no	0.9989556074142456	x
,	no	0.9989606142044067	x
die	no	0.9985793828964233	x
ich	no	0.998832643032074	x
,	no	0.9987258315086365	x
ihm	no	0.9986616373062134	x
brennend	no	0.99873286485672	x
Papier	no	0.9987825751304626	x
hinhaltend	no	0.9988723397254944	x
,	no	0.9987446069717407	x
wieder	no	0.9986119270324707	x
anzünden	no	0.9987292885780334	x
mußte	no	0.9989816546440125	x
,	no	0.9988505840301514	x
welches	no	0.9985679388046265	x
mir	no	0.9986831545829773	x
denn	no	0.9987095594406128	x
ein	no	0.9985259175300598	x
Hauptspaß	no	0.9987096786499023	x
war	no	0.9989193677902222	x
.	no	0.9997001886367798	x
Oft	yes	0.9795175790786743	x
gab	no	0.9903019070625305	x
er	no	0.9912428855895996	x
uns	no	0.9924548864364624	x
aber	no	0.9931740164756775	x
Bilderbücher	no	0.9938462376594543	x
in	no	0.9944077730178833	x
die	no	0.9947603344917297	x
Hände	no	0.9951609969139099	x
,	no	0.9964983463287354	x
saß	no	0.9972109198570251	x
stumm	no	0.9979252815246582	x
und	no	0.9980630278587341	x
starr	no	0.9984347224235535	x
in	no	0.9984099864959717	x
seinem	no	0.9985931515693665	x
Lehnstuhl	no	0.9987202882766724	x
und	no	0.9988418221473694	x
blies	no	0.9986945986747742	x
starke	no	0.9986056685447693	x
Dampfwolken	no	0.9989953637123108	x
von	no	0.9986860156059265	x
sich	no	0.9988773465156555	x
,	no	0.9989520311355591	x
daß	no	0.9985477328300476	x
wir	no	0.9986806511878967	x
alle	no	0.9985924363136292	x
wie	no	0.9985818862915039	x
im	no	0.9985577464103699	x
Nebel	no	0.9987012147903442	x
schwammen	no	0.9988552331924438	x
.	no	0.9965908527374268	x
An	yes	0.9991214871406555	x
solchen	no	0.9988070726394653	x
Abenden	no	0.9989219903945923	x
war	no	0.998775064945221	x
die	no	0.9986600875854492	x
Mutter	no	0.9985629916191101	x
sehr	no	0.9986686706542969	x
traurig	no	0.9986935257911682	x
,	no	0.9989020824432373	x
und	no	0.9988493919372559	x
kaum	no	0.9993001222610474	x
schlug	no	0.9987745881080627	x
die	no	0.998755931854248	x
Uhr	no	0.9988552331924438	x
neun	no	0.9990798234939575	x
,	no	0.99897301197052	x
so	no	0.9988154172897339	x
sprach	no	0.9984844326972961	x
sie	no	0.9984996318817139	x
:	no	0.999798595905304	x
„	no	0.9996989965438843	x
Nun	no	0.9961714148521423	x
,	no	0.9961825013160706	x
Kinder	no	0.9969651103019714	x
!	no	0.9981895089149475	x
–	yes	0.9994640946388245	x
zu	no	0.9985573887825012	x
Bette	no	0.9991059899330139	x
!	no	0.9992438554763794	x
zu	yes	0.9989711046218872	x
Bette	no	0.9992902278900146	x
!	no	0.9968155026435852	x
der	yes	0.9997251629829407	x
Sandmann	no	0.999576985836029	x
kommt	no	0.9991341233253479	x
,	no	0.99919193983078	x
ich	no	0.9990290403366089	x
merk	no	0.9989156723022461	x
es	no	0.9988629817962646	x
schon.	no	0.999795138835907	x
“	no	0.9999866485595703	x
Wirklich	no	0.9851607084274292	x
hörte	no	0.9860742688179016	x
ich	no	0.9883607625961304	x
dann	no	0.9888738393783569	x
jedesmal	no	0.9898844957351685	x
etwas	no	0.9921978116035461	x
schweren	no	0.9953151941299438	x
langsamen	no	0.9971429705619812	x
Tritts	no	0.9988333582878113	x
die	no	0.9986605644226074	x
Treppe	no	0.999177873134613	x
heraufpoltern	no	0.9996181726455688	x
;	no	0.9999088048934937	x
das	no	0.9866609573364258	x
mußte	no	0.9791374206542969	x
der	no	0.9752237200737	x
Sandmann	no	0.9737408757209778	x
sein	no	0.9724211096763611	x
.	no	0.9853408932685852	x
Einmal	yes	0.9752339124679565	x
war	no	0.9853257536888123	x
mir	no	0.9879790544509888	x
jenes	no	0.9896189570426941	x
dumpfe	no	0.9900105595588684	x
Treten	no	0.9915602803230286	x
und	no	0.9932222366333008	x
Poltern	no	0.9946227073669434	x
besonders	no	0.9955495595932007	x
graulich	no	0.9964383840560913	x
;	no	0.9993305206298828	x
ich	no	0.9984492063522339	x
frug	no	0.9980430603027344	x
die	no	0.9982187151908875	x
Mutter	no	0.9983618855476379	x
,	no	0.9986714124679565	x
indem	no	0.998670220375061	x
sie	no	0.9986761212348938	x
uns	no	0.998754620552063	x
fortführte	no	0.9987995624542236	x
:	no	0.9999423027038574	x
„	no	0.9996684789657593	x
Ei	no	0.9939641356468201	x
,	no	0.9933682084083557	x
Mama	no	0.994768500328064	x
!	no	0.9980829954147339	x
wer	yes	0.9972044825553894	x
ist	no	0.9970813393592834	x
denn	no	0.9972683191299438	x
der	no	0.9973229765892029	x
böse	no	0.9972430467605591	x
Sandmann	no	0.9973880648612976	x
,	no	0.9975208640098572	x
der	no	0.9974417686462402	x
uns	no	0.997474730014801	x
immer	no	0.997495174407959	x
von	no	0.9975214600563049	x
Papa	no	0.997605562210083	x
forttreibt	no	0.997917115688324	x
?	no	0.9986881613731384	x
–	yes	0.9552057385444641	x
wie	no	0.9529521465301514	x
sieht	no	0.9558165073394775	x
er	no	0.9558222889900208	x
denn	no	0.965458333492279	x
aus	no	0.9777177572250366	x
?	no	0.952583909034729	x
“	no	0.9999793767929077	x
–	no	0.8686651587486267	x
„	no	0.99913090467453	x
Es	no	0.9993653893470764	x
gibt	no	0.9991944432258606	x
keinen	no	0.9990257024765015	x
Sandmann	no	0.9991115927696228	x
,	no	0.9990448355674744	x
mein	no	0.998963475227356	x
liebes	no	0.9987297654151917	x
Kind	no	0.9990987777709961	x
“	no	0.9999861717224121	x
,	no	0.998813271522522	x
erwiderte	no	0.9992105960845947	x
die	no	0.9991230368614197	x
Mutter	no	0.9993101358413696	x
,	no	0.9995940327644348	x
„	no	0.9998592138290405	x
wenn	no	0.9977027773857117	x
ich	no	0.9983395338058472	x
sage	no	0.9989339709281921	x
,	no	0.9989056587219238	x
der	no	0.9987015724182129	x
Sandmann	no	0.998751163482666	x
kommt	no	0.9987320303916931	x
,	no	0.9988721013069153	x
so	no	0.998699426651001	x
will	no	0.9987003803253174	x
das	no	0.9985952973365784	x
nur	no	0.9986557960510254	x
heißen	no	0.9987599849700928	x
,	no	0.998810887336731	x
ihr	no	0.9987467527389526	x
seid	no	0.9985804557800293	x
schläfrig	no	0.9985097050666809	x
und	no	0.9985942244529724	x
könnt	no	0.9986342787742615	x
die	no	0.9985640645027161	x
Augen	no	0.9986257553100586	x
nicht	no	0.9987228512763977	x
offen	no	0.9988272786140442	x
behalten	no	0.9989539384841919	x
,	no	0.9988784193992615	x
als	no	0.9987596273422241	x
hätte	no	0.9987393021583557	x
man	no	0.9986523985862732	x
euch	no	0.9987609386444092	x
Sand	no	0.998747706413269	x
hineingestreut.	no	0.9997437596321106	x
“	no	0.9999953508377075	x
–	no	0.9089465737342834	x
Der	no	0.9571706056594849	x
Mutter	no	0.9767058491706848	x
Antwort	no	0.9884269833564758	x
befriedigte	no	0.9907402992248535	x
mich	no	0.9936471581459045	x
nicht	no	0.9946893453598022	x
,	no	0.9969623684883118	x
ja	no	0.9967267513275146	x
in	no	0.9966149926185608	x
meinem	no	0.9968313574790955	x
kindischen	no	0.9967446327209473	x
Gemüt	no	0.997329592704773	x
entfaltete	no	0.9974710941314697	x
sich	no	0.997576892375946	x
deutlich	no	0.997719943523407	x
der	no	0.9979814291000366	x
Gedanke	no	0.9982962012290955	x
,	no	0.9988818764686584	x
daß	no	0.9984942674636841	x
die	no	0.9984986782073975	x
Mutter	no	0.9985376596450806	x
den	no	0.9986055493354797	x
Sandmann	no	0.9985958933830261	x
nur	no	0.9987045526504517	x
verleugne	no	0.9988622665405273	x
,	no	0.9989051818847656	x
damit	no	0.9986993074417114	x
wir	no	0.998781144618988	x
uns	no	0.9987995624542236	x
vor	no	0.9986433386802673	x
ihm	no	0.9986347556114197	x
nicht	no	0.9987181425094604	x
fürchten	no	0.9987731575965881	x
sollten	no	0.9991206526756287	x
,	no	0.9991280436515808	x
ich	no	0.9989770650863647	x
hörte	no	0.9979396462440491	x
ihn	no	0.9978075623512268	x
ja	no	0.9982820749282837	x
immer	no	0.9983823299407959	x
die	no	0.9985066056251526	x
Treppe	no	0.9987323880195618	x
heraufkommen	no	0.5616572499275208	x
.	no	0.9933428764343262	x
Voll	yes	0.580764651298523	x
Neugierde	no	0.864799976348877	x
,	no	0.8890485763549805	x
Näheres	no	0.9048860669136047	x
von	no	0.9113973379135132	x
diesem	no	0.9240012168884277	x
Sandmann	no	0.9319993257522583	x
und	no	0.9363433122634888	x
seiner	no	0.9370059967041016	x
Beziehung	no	0.9516575336456299	x
auf	no	0.9541430473327637	x
uns	no	0.9615163207054138	x
Kinder	no	0.9660603404045105	x
zu	no	0.9689109325408936	x
erfahren	no	0.9794791340827942	x
,	no	0.9908664226531982	x
