tok	sentstart	indirect_conf	indirect_pred
gräßlichen	no	0.9947172999382019	x
,	no	0.9969283938407898	x
mir	no	0.9961531758308411	x
drohenden	no	0.9954186677932739	x
Geschicks	no	0.9927067160606384	x
breiten	no	0.9983219504356384	x
sich	no	0.9988767504692078	x
wie	no	0.9968611001968384	x
schwarze	no	0.99660325050354	x
Wolkenschatten	no	0.9967105388641357	x
über	no	0.9973554611206055	x
mich	no	0.9971264004707336	x
aus	no	0.9968118071556091	x
,	no	0.9996086955070496	x
undurchdringlich	no	0.9965524673461914	x
jedem	no	0.9971230626106262	x
freundlichen	no	0.9967362284660339	x
Sonnenstrahl	no	0.9964759945869446	x
.	no	0.9448943734169006	x
–	yes	0.9968538880348206	x
Nun	no	0.9998917579650879	x
soll	no	0.9926881790161133	x
ich	no	0.9989144802093506	x
Dir	no	0.9994515776634216	x
sagen	no	0.9997846484184265	x
,	no	0.9999967813491821	x
was	no	0.5414652824401855	indirect
mir	no	0.8108546733856201	indirect
widerfuhr	no	0.9364417791366577	indirect
.	no	0.9994884729385376	indirect
Ich	yes	0.8066375851631165	x
muß	no	0.7729135155677795	x
es	no	0.9768094420433044	x
,	no	0.8993279933929443	x
das	no	0.9952061772346497	x
sehe	no	0.9986833930015564	x
ich	no	0.9985930323600769	x
ein	no	0.9993901252746582	x
,	no	0.9999803304672241	x
aber	no	0.9966304898262024	x
nur	no	0.9938306212425232	x
es	no	0.9822638630867004	x
denkend	no	0.9714084267616272	x
,	no	0.9973958730697632	x
lacht	no	0.9935139417648315	x
es	no	0.9937073588371277	x
wie	no	0.9934074878692627	x
toll	no	0.9928010702133179	x
aus	no	0.9939138293266296	x
mir	no	0.9959178566932678	x
heraus	no	0.9953536987304688	x
.	no	0.9035717844963074	x
–	yes	0.9956628680229187	x
Ach	no	0.9997743964195251	x
mein	no	0.999434769153595	x
herzlieber	no	0.9633629322052002	x
Lothar	no	0.9998182654380798	x
!	no	0.9995675683021545	x
wie	yes	0.9988915324211121	x
fange	no	0.9977669715881348	x
ich	no	0.9990139007568359	x
es	no	0.997383177280426	x
denn	no	0.9926338791847229	x
an	no	0.9966909885406494	x
,	no	0.9999489784240723	x
Dich	no	0.9901037812232971	x
nur	no	0.9853728413581848	x
einigermaßen	no	0.984372615814209	x
empfinden	no	0.9837743043899536	x
zu	no	0.9493299722671509	x
lassen	no	0.8474056124687195	x
,	no	0.9997594952583313	x
daß	no	0.8713059425354004	x
das	no	0.5648461580276489	x
,	no	0.8874688148498535	x
was	no	0.7325689196586609	x
mir	no	0.6802554130554199	x
vor	no	0.6390810012817383	x
einigen	no	0.6131771802902222	x
Tagen	no	0.5818067193031311	x
geschah	no	0.706753671169281	x
,	no	0.8868892192840576	x
denn	no	0.7877301573753357	x
wirklich	no	0.7210541367530823	x
mein	no	0.6869508624076843	x
Leben	no	0.673572838306427	x
so	no	0.6580292582511902	x
feindlich	no	0.6501713395118713	x
zerstören	no	0.6400266885757446	x
konnte	no	0.510934054851532	x
!	no	0.7529526948928833	x
Wärst	yes	0.6526955962181091	x
Du	no	0.9315527081489563	x
nur	no	0.931614875793457	x
hier	no	0.6406423449516296	x
,	no	0.9906921982765198	x
so	no	0.9845006465911865	x
könntest	no	0.9594892263412476	x
Du	no	0.9763859510421753	x
selbst	no	0.9575297832489014	x
schauen	no	0.5854191184043884	x
;	no	0.9983892440795898	x
aber	no	0.9993355870246887	x
jetzt	no	0.9963414072990417	x
hältst	no	0.9966446161270142	x
Du	no	0.9981670379638672	x
mich	no	0.9953693747520447	x
gewiß	no	0.9979878664016724	x
für	no	0.9959612488746643	x
einen	no	0.9952818751335144	x
aberwitzigen	no	0.9953516721725464	x
Geisterseher	no	0.9955973029136658	x
.	no	0.9237357378005981	x
–	yes	0.9927002787590027	x
Kurz	no	0.9999185800552368	x
und	no	0.9986236095428467	x
gut	no	0.9989039897918701	x
,	no	0.9999825954437256	x
das	no	0.9870777130126953	x
Entsetzliche	no	0.9816358089447021	x
,	no	0.9984900951385498	x
was	no	0.9769130945205688	x
mir	no	0.9650238752365112	x
geschah	no	0.7196097373962402	x
,	no	0.9970338344573975	x
dessen	no	0.9947693943977356	x
tödlichen	no	0.9926101565361023	x
Eindruck	no	0.991544246673584	x
zu	no	0.9886170029640198	x
vermeiden	no	0.9828133583068848	x
ich	no	0.9885491728782654	x
mich	no	0.9848183393478394	x
vergebens	no	0.9763075113296509	x
bemühe	no	0.9765744805335999	x
,	no	0.9999722242355347	x
besteht	no	0.9893255233764648	x
in	no	0.9807172417640686	x
nichts	no	0.9704952836036682	x
anderm	no	0.9483200907707214	x
,	no	0.9997381567955017	x
als	no	0.9947618842124939	x
daß	no	0.9724615812301636	x
vor	no	0.9618632793426514	x
einigen	no	0.9600615501403809	x
Tagen	no	0.950353741645813	x
,	no	0.9938724040985107	x
nämlich	no	0.9900798797607422	x
am	no	0.987079381942749	x
30	no	0.9924671053886414	x
.	no	0.9919638633728027	x
Oktober	no	0.9880316257476807	x
,	no	0.9974600672721863	x
mittags	no	0.9956161975860596	x
um	no	0.9951388835906982	x
zwölf	no	0.9946231842041016	x
Uhr	no	0.9924817085266113	x
,	no	0.9976766705513	x
ein	no	0.996215283870697	x
Wetterglashändler	no	0.9963756203651428	x
in	no	0.996218740940094	x
meine	no	0.9961820244789124	x
Stube	no	0.9961773157119751	x
trat	no	0.9956880211830139	x
und	no	0.9964471459388733	x
mir	no	0.9963517189025879	x
seine	no	0.9957805871963501	x
Ware	no	0.9957569241523743	x
anbot	no	0.9952999353408813	x
.	no	0.7934018969535828	x
Ich	yes	0.9994097948074341	x
kaufte	no	0.9996009469032288	x
nichts	no	0.9977067708969116	x
und	no	0.9997038245201111	x
drohte	no	0.9996680021286011	x
,	no	0.9999972581863403	x
ihn	no	0.7145628929138184	indirect
die	no	0.6880348920822144	indirect
Treppe	no	0.929317831993103	indirect
herabzuwerfen	no	0.9971523284912109	indirect
,	no	0.8606839776039124	x
worauf	no	0.6271842122077942	x
er	no	0.7777624130249023	x
aber	no	0.909990668296814	x
von	no	0.8950807452201843	x
selbst	no	0.896196186542511	x
fortging	no	0.8997759222984314	x
.	no	0.795851469039917	x
Du	yes	0.9891714453697205	x
ahnest	no	0.9999867677688599	x
,	no	0.9999942779541016	x
daß	no	0.5719821453094482	indirect
nur	no	0.8296657800674438	indirect
ganz	no	0.9016359448432922	indirect
eigne	no	0.9351192712783813	indirect
,	no	0.9253783822059631	indirect
tief	no	0.9351528286933899	indirect
in	no	0.9429065585136414	indirect
mein	no	0.9508680105209351	indirect
Leben	no	0.9561988115310669	indirect
eingreifende	no	0.960486888885498	indirect
Beziehungen	no	0.9656323194503784	indirect
diesem	no	0.9725440740585327	indirect
Vorfall	no	0.9801004528999329	indirect
Bedeutung	no	0.9863985180854797	indirect
geben	no	0.9929673671722412	indirect
können	no	0.9992923736572266	indirect
,	no	0.5894738435745239	indirect
ja	no	0.6021652221679688	indirect
daß	no	0.9281725287437439	indirect
wohl	no	0.9447436928749084	indirect
die	no	0.9490498304367065	indirect
Person	no	0.9506786465644836	indirect
jenes	no	0.9536590576171875	indirect
unglückseligen	no	0.9549365043640137	indirect
Krämers	no	0.9578058123588562	indirect
gar	no	0.9624754786491394	indirect
feindlich	no	0.9675052165985107	indirect
auf	no	0.9703258872032166	indirect
mich	no	0.9748728275299072	indirect
wirken	no	0.9802764654159546	indirect
muß	no	0.9925169348716736	indirect
.	no	0.9998700618743896	indirect
So	yes	0.646450936794281	x
ist	no	0.9193600416183472	x
es	no	0.9968079924583435	x
in	no	0.9983924031257629	x
der	no	0.9993934631347656	x
Tat	no	0.9993589520454407	x
.	no	0.945541501045227	x
Mit	yes	0.9996649026870728	x
aller	no	0.99631667137146	x
Kraft	no	0.9972575306892395	x
fasse	no	0.9980071187019348	x
ich	no	0.9998955726623535	x
mich	no	0.9949215054512024	x
zusammen	no	0.9975353479385376	x
,	no	0.999971866607666	x
um	no	0.9950814247131348	x
ruhig	no	0.9943289160728455	x
und	no	0.9938090443611145	x
geduldig	no	0.9941205382347107	x
Dir	no	0.9956375956535339	x
aus	no	0.9950313568115234	x
meiner	no	0.9950332641601562	x
frühern	no	0.9951862692832947	x
Jugendzeit	no	0.9952625036239624	x
so	no	0.9960176348686218	x
viel	no	0.9956707954406738	x
zu	no	0.9874019026756287	x
erzählen	no	0.9401066303253174	x
,	no	0.9997100234031677	x
daß	no	0.9926553964614868	x
Deinem	no	0.9935570359230042	x
regen	no	0.9945459365844727	x
Sinn	no	0.9946494698524475	x
alles	no	0.9946111440658569	x
klar	no	0.9953243732452393	x
und	no	0.9958231449127197	x
deutlich	no	0.9961519837379456	x
in	no	0.9962732791900635	x
leuchtenden	no	0.996613085269928	x
Bildern	no	0.9970587491989136	x
aufgehen	no	0.9969505071640015	x
wird	no	0.9962211847305298	x
.	no	0.993429958820343	x
Indem	yes	0.9964250922203064	x
ich	no	0.9977832436561584	x
anfangen	no	0.9952185750007629	x
will	no	0.9713340401649475	x
,	no	0.9998019337654114	x
höre	no	0.8461640477180481	x
ich	no	0.9980260133743286	x
Dich	no	0.997556209564209	x
lachen	no	0.9942421317100525	x
und	no	0.9970721006393433	x
Klara	no	0.996905505657196	x
sagen	no	0.9983803033828735	x
:	no	0.9961420893669128	x
„	no	0.9990296363830566	x
Das	no	0.9982962012290955	x
sind	no	0.9941890239715576	x
ja	no	0.9937452077865601	x
rechte	no	0.9928223490715027	x
Kindereien	no	0.991885781288147	x
!	no	0.9144626259803772	x
“	no	0.9803094267845154	x
–	no	0.9988203644752502	x
Lacht	no	0.9991335272789001	x
,	no	0.9999606609344482	x
ich	no	0.9992187023162842	x
bitte	no	0.9933133721351624	x
Euch	no	0.9989564418792725	x
,	no	0.9999884366989136	x
lacht	no	0.9670037627220154	x
mich	no	0.9267544746398926	x
recht	no	0.869727611541748	x
herzlich	no	0.7609308958053589	x
aus	no	0.567660391330719	x
!	no	0.7244881987571716	x
–	yes	0.978918731212616	x
ich	no	0.9991998076438904	x
bitt	no	0.9829401969909668	x
Euch	no	0.9972461462020874	x
sehr	no	0.9935304522514343	x
!	no	0.972419261932373	x
–	yes	0.9965266585350037	x
Aber	no	0.9995094537734985	x
,	no	0.9998461008071899	x
Gott	no	0.9971092343330383	x
im	no	0.9931929707527161	x
Himmel	no	0.9882519841194153	x
!	no	0.9999359846115112	x
die	yes	0.9964512586593628	x
Haare	no	0.9932854175567627	x
sträuben	no	0.99347323179245	x
sich	no	0.9933438301086426	x
mir	no	0.987575352191925	x
,	no	0.9998395442962646	x
und	no	0.9990026354789734	x
es	no	0.9995468258857727	x
ist	no	0.9986586570739746	x
,	no	0.9999204874038696	x
als	no	0.9830137491226196	x
flehe	no	0.9677549004554749	x
ich	no	0.9403694272041321	x
Euch	no	0.9631271362304688	x
an	no	0.963634192943573	x
,	no	0.9999749660491943	x
mich	no	0.7244668006896973	indirect
auszulachen	no	0.9289989471435547	indirect
,	no	0.7167764902114868	indirect
in	no	0.860681414604187	indirect
wahnsinniger	no	0.9019731283187866	indirect
Verzweiflung	no	0.9682301878929138	indirect
,	no	0.676773726940155	indirect
wie	no	0.65815269947052	indirect
Franz	no	0.7599633932113647	indirect
Moor	no	0.8001236915588379	indirect
den	no	0.8539974093437195	indirect
Daniel	no	0.9047138094902039	indirect
.	no	0.9985519051551819	indirect
–	yes	0.748542308807373	x
Nun	no	0.9768997430801392	x
fort	no	0.9977486729621887	x
zur	no	0.9974777102470398	x
Sache	no	0.9969293475151062	x
!	no	0.9724745154380798	x
Außer	yes	0.9998457431793213	x
dem	no	0.9983925223350525	x
Mittagsessen	no	0.9959355592727661	x
sahen	no	0.9932031631469727	x
wir	no	0.998335063457489	x
,	no	0.9999125003814697	x
ich	no	0.9971893429756165	x
und	no	0.9939946532249451	x
mein	no	0.9900655746459961	x
Geschwister	no	0.998356282711029	x
,	no	0.9999719858169556	x
tagüber	no	0.9875791668891907	x
den	no	0.9822148680686951	x
Vater	no	0.9769858717918396	x
wenig	no	0.9768064618110657	x
.	no	0.9694406986236572	x
Er	yes	0.9677734375	x
mochte	no	0.9905233979225159	x
mit	no	0.9893084764480591	x
seinem	no	0.9897118806838989	x
Dienst	no	0.9909161925315857	x
viel	no	0.9907258749008179	x
beschäftigt	no	0.9909353852272034	x
sein	no	0.9903316497802734	x
.	no	0.6336438655853271	x
Nach	yes	0.9979491829872131	x
dem	no	0.999040424823761	x
Abendessen	no	0.988830029964447	x
,	no	0.9999521970748901	x
das	no	0.9914451837539673	x
alter	no	0.9915577173233032	x
Sitte	no	0.9992746710777283	x
gemäß	no	0.9984519481658936	x
schon	no	0.9939318895339966	x
um	no	0.9914757013320923	x
sieben	no	0.9892188906669617	x
Uhr	no	0.984226405620575	x
aufgetragen	no	0.9692491292953491	x
wurde	no	0.6765586137771606	x
,	no	0.9983609318733215	x
gingen	no	0.9973636269569397	x
wir	no	0.9993892908096313	x
alle	no	0.9950454235076904	x
,	no	0.9998226761817932	x
die	no	0.9964361190795898	x
Mutter	no	0.9951956868171692	x
mit	no	0.9933731555938721	x
uns	no	0.9855487942695618	x
,	no	0.9998431205749512	x
in	no	0.9942091703414917	x
des	no	0.9925335645675659	x
Vaters	no	0.9904313683509827	x
Arbeitszimmer	no	0.9757329225540161	x
und	no	0.9966338276863098	x
setzten	no	0.9984276294708252	x
uns	no	0.9983413219451904	x
um	no	0.9967435598373413	x
einen	no	0.997329592704773	x
runden	no	0.9964239001274109	x
Tisch	no	0.996044933795929	x
.	no	0.9114356637001038	x
Der	yes	0.9997386336326599	x
Vater	no	0.9980244636535645	x
rauchte	no	0.9983184337615967	x
Tabak	no	0.996796190738678	x
und	no	0.9993574023246765	x
trank	no	0.9980317950248718	x
ein	no	0.9975025057792664	x
großes	no	0.9971518516540527	x
Glas	no	0.9968438148498535	x
Bier	no	0.9966942071914673	x
dazu	no	0.9972546696662903	x
.	no	0.9387437701225281	x
Oft	yes	0.999259889125824	x
erzählte	no	0.9995243549346924	x
er	no	0.9994227886199951	x
uns	no	0.9979294538497925	x
viele	no	0.9976168870925903	x
wunderbare	no	0.9954990744590759	x
Geschichten	no	0.9896300435066223	x
und	no	0.99937903881073	x
geriet	no	0.99903404712677	x
darüber	no	0.9965022802352905	x
so	no	0.998333752155304	x
in	no	0.9953861832618713	x
Eifer	no	0.9836863875389099	x
,	no	0.9998996257781982	x
daß	no	0.9946744441986084	x
ihm	no	0.9949076771736145	x
die	no	0.9942871928215027	x
Pfeife	no	0.9923149943351746	x
immer	no	0.9895797371864319	x
ausging	no	0.9412229061126709	x
,	no	0.9996471405029297	x
die	no	0.9934669137001038	x
ich	no	0.9887813329696655	x
,	no	0.9992949962615967	x
ihm	no	0.9950956106185913	x
brennend	no	0.9946516752243042	x
Papier	no	0.9933464527130127	x
hinhaltend	no	0.9883679747581482	x
,	no	0.9996531009674072	x
wieder	no	0.991957426071167	x
anzünden	no	0.9862657189369202	x
mußte	no	0.8990654349327087	x
,	no	0.9997842907905579	x
welches	no	0.987514078617096	x
mir	no	0.9890310168266296	x
denn	no	0.9874218702316284	x
ein	no	0.9873818755149841	x
Hauptspaß	no	0.988261878490448	x
war	no	0.9881678223609924	x
.	no	0.9781845211982727	x
Oft	yes	0.9852816462516785	x
gab	no	0.996587872505188	x
er	no	0.9976033568382263	x
uns	no	0.9976824522018433	x
aber	no	0.9988916516304016	x
Bilderbücher	no	0.9972896575927734	x
in	no	0.9965432286262512	x
die	no	0.9958208799362183	x
Hände	no	0.9843170642852783	x
,	no	0.9998168349266052	x
saß	no	0.9984706044197083	x
stumm	no	0.9976623058319092	x
und	no	0.9967212080955505	x
starr	no	0.9965446591377258	x
in	no	0.9972718358039856	x
seinem	no	0.9967846870422363	x
Lehnstuhl	no	0.9965279698371887	x
und	no	0.9989799857139587	x
blies	no	0.9969315528869629	x
starke	no	0.9967558979988098	x
Dampfwolken	no	0.9964560866355896	x
von	no	0.9958605170249939	x
sich	no	0.9886930584907532	x
,	no	0.9998447895050049	x
daß	no	0.9955757856369019	x
wir	no	0.9955613613128662	x
alle	no	0.9956608414649963	x
wie	no	0.9956235289573669	x
im	no	0.9952753782272339	x
Nebel	no	0.9955676198005676	x
schwammen	no	0.99504554271698	x
.	no	0.8405981659889221	x
An	yes	0.9990293979644775	x
solchen	no	0.9984874725341797	x
Abenden	no	0.9981067180633545	x
war	no	0.9992406368255615	x
die	no	0.9991589784622192	x
Mutter	no	0.9973336458206177	x
sehr	no	0.998115062713623	x
traurig	no	0.9933615922927856	x
,	no	0.9999364614486694	x
und	no	0.9995869994163513	x
kaum	no	0.9991413354873657	x
schlug	no	0.9963496923446655	x
die	no	0.9941951632499695	x
Uhr	no	0.9893779158592224	x
neun	no	0.935294508934021	x
,	no	0.9994794726371765	x
so	no	0.9934965372085571	x
sprach	no	0.9991051554679871	x
sie	no	0.996100902557373	x
:	no	0.9988798499107361	x
„	no	0.9998936653137207	x
Nun	no	0.9994150400161743	x
,	no	0.9994710087776184	x
Kinder	no	0.9950491786003113	x
!	no	0.9977044463157654	x
–	yes	0.9986316561698914	x
zu	no	0.9941468238830566	x
Bette	no	0.9916372895240784	x
!	no	0.9958598017692566	x
zu	yes	0.9922745823860168	x
Bette	no	0.9704088568687439	x
!	no	0.9986324906349182	x
der	yes	0.9945119619369507	x
Sandmann	no	0.9932199120521545	x
kommt	no	0.8923874497413635	x
,	no	0.9998341798782349	x
ich	no	0.9979799389839172	x
merk	no	0.9961483478546143	x
es	no	0.9937348961830139	x
schon.	no	0.9776262640953064	x
“	no	0.9996421337127686	x
Wirklich	no	0.9997478127479553	x
hörte	no	0.9953413009643555	x
ich	no	0.9996554851531982	x
dann	no	0.9987738728523254	x
jedesmal	no	0.9977774024009705	x
etwas	no	0.9962323307991028	x
schweren	no	0.9962921142578125	x
langsamen	no	0.9963396787643433	x
Tritts	no	0.9957249164581299	x
die	no	0.9951039552688599	x
Treppe	no	0.9927265644073486	x
heraufpoltern	no	0.9457730650901794	x
;	no	0.999933123588562	x
das	no	0.996753990650177	x
mußte	no	0.997407853603363	x
der	no	0.9966489672660828	x
Sandmann	no	0.9971041083335876	x
sein	no	0.9966751337051392	x
.	no	0.9940292835235596	x
Einmal	yes	0.9788070321083069	x
war	no	0.9962826371192932	x
mir	no	0.9991728663444519	x
jenes	no	0.9959224462509155	x
dumpfe	no	0.9954348206520081	x
Treten	no	0.9964753985404968	x
und	no	0.9955810904502869	x
Poltern	no	0.9953439831733704	x
besonders	no	0.9935798645019531	x
graulich	no	0.9319078922271729	x
;	no	0.999508261680603	x
ich	no	0.9990149736404419	x
frug	no	0.9999629259109497	x
die	no	0.99506014585495	x
Mutter	no	0.9823142290115356	x
,	no	0.9999597072601318	x
indem	no	0.990730345249176	x
sie	no	0.9844271540641785	x
uns	no	0.9780543446540833	x
fortführte	no	0.9014214277267456	x
:	no	0.9970085024833679	x
„	no	0.9991267323493958	x
Ei	no	0.9992297887802124	x
,	no	0.9994140863418579	x
Mama	no	0.99774569272995	x
!	no	0.999891996383667	x
wer	yes	0.9898108243942261	x
ist	no	0.9826046824455261	x
denn	no	0.9832125306129456	x
der	no	0.9837521314620972	x
böse	no	0.9846007227897644	x
Sandmann	no	0.9824936985969543	x
,	no	0.9964381456375122	x
der	no	0.9951192140579224	x
uns	no	0.9955064058303833	x
immer	no	0.9957312941551208	x
von	no	0.9960120916366577	x
Papa	no	0.9966347813606262	x
forttreibt	no	0.9969402551651001	x
?	no	0.9955093860626221	x
–	yes	0.9969300627708435	x
wie	no	0.9915674328804016	x
sieht	no	0.9875849485397339	x
er	no	0.9868879914283752	x
denn	no	0.9876958131790161	x
aus	no	0.9859356880187988	x
?	no	0.8218082785606384	x
“	no	0.9432999491691589	x
–	no	0.9963311553001404	x
„	no	0.9997093081474304	x
Es	no	0.9995893836021423	x
gibt	no	0.9876515865325928	x
keinen	no	0.96943598985672	x
Sandmann	no	0.6772699952125549	x
,	no	0.9971491694450378	x
mein	no	0.9994083642959595	x
liebes	no	0.9949114918708801	x
Kind	no	0.9958290457725525	x
“	no	0.9993515610694885	x
,	no	0.9999527931213379	x
erwiderte	no	0.9995778203010559	x
die	no	0.9978582262992859	x
Mutter	no	0.9914577603340149	x
,	no	0.9999614953994751	x
„	no	0.9999048709869385	x
wenn	no	0.9753240346908569	x
ich	no	0.9617035388946533	x
sage	no	0.9973288774490356	x
,	no	0.9999969005584717	x
der	no	0.7204460501670837	indirect
Sandmann	no	0.9438924193382263	indirect
kommt	no	0.9997120499610901	indirect
,	no	0.7233140468597412	x
so	no	0.612970232963562	x
will	no	0.6611317992210388	x
das	no	0.6287749409675598	x
nur	no	0.6088954210281372	x
heißen	no	0.8133556246757507	x
,	no	0.9994409680366516	x
ihr	no	0.9420775771141052	indirect
seid	no	0.7354740500450134	indirect
schläfrig	no	0.6029713749885559	indirect
und	no	0.7090686559677124	indirect
könnt	no	0.5814749002456665	indirect
die	no	0.5449085831642151	indirect
Augen	no	0.515947163105011	indirect
nicht	no	0.5419085621833801	indirect
offen	no	0.6728269457817078	indirect
behalten	no	0.9186448454856873	indirect
,	no	0.8327134847640991	indirect
als	no	0.571319043636322	indirect
hätte	no	0.7385830879211426	indirect
man	no	0.84373539686203	indirect
euch	no	0.9132364392280579	indirect
Sand	no	0.9606577157974243	indirect
hineingestreut.	no	0.9967478513717651	indirect
“	no	0.8646829128265381	x
–	no	0.7528390288352966	x
Der	no	0.9945620894432068	x
Mutter	no	0.9936248064041138	x
Antwort	no	0.9998124241828918	x
befriedigte	no	0.994229793548584	x
mich	no	0.9988042116165161	x
nicht	no	0.9974638223648071	x
,	no	0.9999710321426392	x
ja	no	0.9997294545173645	x
in	no	0.9969143867492676	x
meinem	no	0.9986960291862488	x
kindischen	no	0.9944800138473511	x
Gemüt	no	0.9973803162574768	x
entfaltete	no	0.996526300907135	x
sich	no	0.9988443851470947	x
deutlich	no	0.9989076852798462	x
der	no	0.9993357062339783	x
Gedanke	no	0.9999362230300903	x
,	no	0.9999978542327881	x
daß	no	0.5927256345748901	indirect
die	no	0.9125397205352783	indirect
Mutter	no	0.946876585483551	indirect
den	no	0.9668694734573364	indirect
Sandmann	no	0.9725683331489563	indirect
nur	no	0.9834060668945312	indirect
verleugne	no	0.9913737177848816	indirect
,	no	0.9615757465362549	indirect
damit	no	0.9818861484527588	indirect
wir	no	0.9867631793022156	indirect
uns	no	0.990231454372406	indirect
vor	no	0.9922038316726685	indirect
ihm	no	0.9951653480529785	indirect
nicht	no	0.9971158504486084	indirect
fürchten	no	0.9979158043861389	indirect
sollten	no	0.9999041557312012	indirect
,	no	0.8972407579421997	x
ich	no	0.992205798625946	x
hörte	no	0.968076765537262	x
ihn	no	0.8965194821357727	x
ja	no	0.9822631478309631	x
immer	no	0.9776175618171692	x
die	no	0.9753803014755249	x
Treppe	no	0.9699292778968811	x
heraufkommen	no	0.5095359683036804	x
.	no	0.9772746562957764	x
Voll	yes	0.8909547328948975	x
